LgID,TeamID,Year
NL,ARI,2019
NL,ATL,2019
AL,BAL,2019
AL,BOS,2019
AL,CHA,2019
NL,CHN,2019
NL,CIN,2019
AL,CLE,2019
NL,COL,2019
AL,DET,2019
NL,HOU,2019
AL,KCA,2019
AL,LAA,2019
NL,LAN,2019
NL,MIA,2019
NL,MIL,2019
AL,MIN,2019
AL,NYA,2019
NL,NYN,2019
AL,OAK,2019
NL,PHI,2019
NL,PIT,2019
NL,SDN,2019
AL,SEA,2019
NL,SFN,2019
NL,SLN,2019
AL,TBA,2019
AL,TEX,2019
AL,TOR,2019
NL,WAS,2019
NL,ARI,2018
NL,ATL,2018
AL,BAL,2018
AL,BOS,2018
AL,CHA,2018
NL,CHN,2018
NL,CIN,2018
AL,CLE,2018
NL,COL,2018
AL,DET,2018
NL,HOU,2018
AL,KCA,2018
AL,LAA,2018
NL,LAN,2018
NL,MIA,2018
NL,MIL,2018
AL,MIN,2018
AL,NYA,2018
NL,NYN,2018
AL,OAK,2018
NL,PHI,2018
NL,PIT,2018
NL,SDN,2018
AL,SEA,2018
NL,SFN,2018
NL,SLN,2018
AL,TBA,2018
AL,TEX,2018
AL,TOR,2018
NL,WAS,2018
NL,ARI,2017
NL,ATL,2017
AL,BAL,2017
AL,BOS,2017
AL,CHA,2017
NL,CHN,2017
NL,CIN,2017
AL,CLE,2017
NL,COL,2017
AL,DET,2017
NL,HOU,2017
AL,KCA,2017
AL,LAA,2017
NL,LAN,2017
NL,MIA,2017
NL,MIL,2017
AL,MIN,2017
AL,NYA,2017
NL,NYN,2017
AL,OAK,2017
NL,PHI,2017
NL,PIT,2017
NL,SDN,2017
AL,SEA,2017
NL,SFN,2017
NL,SLN,2017
AL,TBA,2017
AL,TEX,2017
AL,TOR,2017
NL,WAS,2017
NL,ARI,2016
NL,ATL,2016
AL,BAL,2016
AL,BOS,2016
AL,CHA,2016
NL,CHN,2016
NL,CIN,2016
AL,CLE,2016
NL,COL,2016
AL,DET,2016
NL,HOU,2016
AL,KCA,2016
AL,LAA,2016
NL,LAN,2016
NL,MIA,2016
NL,MIL,2016
AL,MIN,2016
AL,NYA,2016
NL,NYN,2016
AL,OAK,2016
NL,PHI,2016
NL,PIT,2016
NL,SDN,2016
AL,SEA,2016
NL,SFN,2016
NL,SLN,2016
AL,TBA,2016
AL,TEX,2016
AL,TOR,2016
NL,WAS,2016
NL,ARI,2015
NL,ATL,2015
AL,BAL,2015
AL,BOS,2015
AL,CHA,2015
NL,CHN,2015
NL,CIN,2015
AL,CLE,2015
NL,COL,2015
AL,DET,2015
NL,HOU,2015
AL,KCA,2015
AL,LAA,2015
NL,LAN,2015
NL,MIA,2015
NL,MIL,2015
AL,MIN,2015
AL,NYA,2015
NL,NYN,2015
AL,OAK,2015
NL,PHI,2015
NL,PIT,2015
NL,SDN,2015
AL,SEA,2015
NL,SFN,2015
NL,SLN,2015
AL,TBA,2015
AL,TEX,2015
AL,TOR,2015
NL,WAS,2015
NL,ARI,2014
NL,ATL,2014
AL,BAL,2014
AL,BOS,2014
AL,CHA,2014
NL,CHN,2014
NL,CIN,2014
AL,CLE,2014
NL,COL,2014
AL,DET,2014
NL,HOU,2014
AL,KCA,2014
AL,LAA,2014
NL,LAN,2014
NL,MIA,2014
NL,MIL,2014
AL,MIN,2014
AL,NYA,2014
NL,NYN,2014
AL,OAK,2014
NL,PHI,2014
NL,PIT,2014
NL,SDN,2014
AL,SEA,2014
NL,SFN,2014
NL,SLN,2014
AL,TBA,2014
AL,TEX,2014
AL,TOR,2014
NL,WAS,2014
NL,ARI,2013
NL,ATL,2013
AL,BAL,2013
AL,BOS,2013
AL,CHA,2013
NL,CHN,2013
NL,CIN,2013
AL,CLE,2013
NL,COL,2013
AL,DET,2013
NL,HOU,2013
AL,KCA,2013
AL,LAA,2013
NL,LAN,2013
NL,MIA,2013
NL,MIL,2013
AL,MIN,2013
AL,NYA,2013
NL,NYN,2013
AL,OAK,2013
NL,PHI,2013
NL,PIT,2013
NL,SDN,2013
AL,SEA,2013
NL,SFN,2013
NL,SLN,2013
AL,TBA,2013
AL,TEX,2013
AL,TOR,2013
NL,WAS,2013
NL,ARI,2012
NL,ATL,2012
AL,BAL,2012
AL,BOS,2012
AL,CHA,2012
NL,CHN,2012
NL,CIN,2012
AL,CLE,2012
NL,COL,2012
AL,DET,2012
NL,HOU,2012
AL,KCA,2012
AL,LAA,2012
NL,LAN,2012
NL,MIA,2012
NL,MIL,2012
AL,MIN,2012
AL,NYA,2012
NL,NYN,2012
AL,OAK,2012
NL,PHI,2012
NL,PIT,2012
NL,SDN,2012
AL,SEA,2012
NL,SFN,2012
NL,SLN,2012
AL,TBA,2012
AL,TEX,2012
AL,TOR,2012
NL,WAS,2012
NL,ARI,2011
NL,ATL,2011
AL,BAL,2011
AL,BOS,2011
AL,CHA,2011
NL,CHN,2011
NL,CIN,2011
AL,CLE,2011
NL,COL,2011
AL,DET,2011
NL,FLO,2011
NL,HOU,2011
AL,KCA,2011
AL,LAA,2011
NL,LAN,2011
NL,MIL,2011
AL,MIN,2011
AL,NYA,2011
NL,NYN,2011
AL,OAK,2011
NL,PHI,2011
NL,PIT,2011
NL,SDN,2011
AL,SEA,2011
NL,SFN,2011
NL,SLN,2011
AL,TBA,2011
AL,TEX,2011
AL,TOR,2011
NL,WAS,2011
NL,ARI,2010
NL,ATL,2010
AL,BAL,2010
AL,BOS,2010
AL,CHA,2010
NL,CHN,2010
NL,CIN,2010
AL,CLE,2010
NL,COL,2010
AL,DET,2010
NL,FLO,2010
NL,HOU,2010
AL,KCA,2010
AL,LAA,2010
NL,LAN,2010
NL,MIL,2010
AL,MIN,2010
AL,NYA,2010
NL,NYN,2010
AL,OAK,2010
NL,PHI,2010
NL,PIT,2010
NL,SDN,2010
AL,SEA,2010
NL,SFN,2010
NL,SLN,2010
AL,TBA,2010
AL,TEX,2010
AL,TOR,2010
NL,WAS,2010
