Year,TeamID,OFF_DEF,H_A,Bathand,HR
1876,BSN,OFF,H,L,1
1876,BSN,OFF,H,R,4
1876,BSN,OFF,H,U,0
1876,BSN,OFF,A,L,1
1876,BSN,OFF,A,R,3
1876,BSN,OFF,A,U,0
1876,BSN,DEF,H,L,1
1876,BSN,DEF,H,R,2
1876,BSN,DEF,H,U,0
1876,BSN,DEF,A,L,1
1876,BSN,DEF,A,R,3
1876,BSN,DEF,A,U,0
1876,CHN,OFF,H,L,1
1876,CHN,OFF,H,R,2
1876,CHN,OFF,H,U,0
1876,CHN,OFF,A,L,0
1876,CHN,OFF,A,R,5
1876,CHN,OFF,A,U,0
1876,CHN,DEF,H,L,0
1876,CHN,DEF,H,R,1
1876,CHN,DEF,H,U,0
1876,CHN,DEF,A,L,1
1876,CHN,DEF,A,R,4
1876,CHN,DEF,A,U,0
1876,CN1,OFF,H,L,0
1876,CN1,OFF,H,R,2
1876,CN1,OFF,H,U,0
1876,CN1,OFF,A,L,0
1876,CN1,OFF,A,R,2
1876,CN1,OFF,A,U,0
1876,CN1,DEF,H,L,1
1876,CN1,DEF,H,R,1
1876,CN1,DEF,H,U,0
1876,CN1,DEF,A,L,3
1876,CN1,DEF,A,R,4
1876,CN1,DEF,A,U,0
1876,HAR,OFF,H,L,0
1876,HAR,OFF,H,R,0
1876,HAR,OFF,H,U,0
1876,HAR,OFF,A,L,1
1876,HAR,OFF,A,R,1
1876,HAR,OFF,A,U,0
1876,HAR,DEF,H,L,0
1876,HAR,DEF,H,R,0
1876,HAR,DEF,H,U,0
1876,HAR,DEF,A,L,2
1876,HAR,DEF,A,R,0
1876,HAR,DEF,A,U,0
1876,LS1,OFF,H,L,1
1876,LS1,OFF,H,R,6
1876,LS1,OFF,H,U,1
1876,LS1,OFF,A,L,1
1876,LS1,OFF,A,R,1
1876,LS1,OFF,A,U,0
1876,LS1,DEF,H,L,1
1876,LS1,DEF,H,R,2
1876,LS1,DEF,H,U,0
1876,LS1,DEF,A,L,0
1876,LS1,DEF,A,R,0
1876,LS1,DEF,A,U,0
1876,NY3,OFF,H,L,2
1876,NY3,OFF,H,R,1
1876,NY3,OFF,H,U,0
1876,NY3,OFF,A,L,0
1876,NY3,OFF,A,R,1
1876,NY3,OFF,A,U,0
1876,NY3,DEF,H,L,1
1876,NY3,DEF,H,R,6
1876,NY3,DEF,H,U,0
1876,NY3,DEF,A,L,1
1876,NY3,DEF,A,R,0
1876,NY3,DEF,A,U,0
1876,PHN,OFF,H,L,3
1876,PHN,OFF,H,R,1
1876,PHN,OFF,H,U,0
1876,PHN,OFF,A,L,2
1876,PHN,OFF,A,R,1
1876,PHN,OFF,A,U,0
1876,PHN,DEF,H,L,0
1876,PHN,DEF,H,R,0
1876,PHN,DEF,H,U,0
1876,PHN,DEF,A,L,0
1876,PHN,DEF,A,R,1
1876,PHN,DEF,A,U,1
1876,SL3,OFF,H,L,2
1876,SL3,OFF,H,R,0
1876,SL3,OFF,H,U,0
1876,SL3,OFF,A,L,1
1876,SL3,OFF,A,R,1
1876,SL3,OFF,A,U,0
1876,SL3,DEF,H,L,0
1876,SL3,DEF,H,R,1
1876,SL3,DEF,H,U,0
1876,SL3,DEF,A,L,0
1876,SL3,DEF,A,R,2
1876,SL3,DEF,A,U,0
1877,BSN,OFF,H,L,0
1877,BSN,OFF,H,R,0
1877,BSN,OFF,H,U,0
1877,BSN,OFF,A,L,3
1877,BSN,OFF,A,R,1
1877,BSN,OFF,A,U,0
1877,BSN,DEF,H,L,0
1877,BSN,DEF,H,R,1
1877,BSN,DEF,H,U,0
1877,BSN,DEF,A,L,3
1877,BSN,DEF,A,R,1
1877,BSN,DEF,A,U,0
1877,CHN,OFF,H,L,0
1877,CHN,OFF,H,R,0
1877,CHN,OFF,H,U,0
1877,CHN,OFF,A,L,0
1877,CHN,OFF,A,R,0
1877,CHN,OFF,A,U,0
1877,CHN,DEF,H,L,3
1877,CHN,DEF,H,R,1
1877,CHN,DEF,H,U,0
1877,CHN,DEF,A,L,1
1877,CHN,DEF,A,R,2
1877,CHN,DEF,A,U,0
1877,CN1,OFF,H,L,2
1877,CN1,OFF,H,R,2
1877,CN1,OFF,H,U,0
1877,CN1,OFF,A,L,2
1877,CN1,OFF,A,R,0
1877,CN1,OFF,A,U,0
1877,CN1,DEF,H,L,0
1877,CN1,DEF,H,R,1
1877,CN1,DEF,H,U,0
1877,CN1,DEF,A,L,2
1877,CN1,DEF,A,R,1
1877,CN1,DEF,A,U,0
1877,HAR,OFF,H,L,3
1877,HAR,OFF,H,R,0
1877,HAR,OFF,H,U,0
1877,HAR,OFF,A,L,1
1877,HAR,OFF,A,R,2
1877,HAR,OFF,A,U,0
1877,HAR,DEF,H,L,1
1877,HAR,DEF,H,R,0
1877,HAR,DEF,H,U,0
1877,HAR,DEF,A,L,0
1877,HAR,DEF,A,R,1
1877,HAR,DEF,A,U,0
1877,LS1,OFF,H,L,3
1877,LS1,OFF,H,R,4
1877,LS1,OFF,H,U,0
1877,LS1,OFF,A,L,0
1877,LS1,OFF,A,R,2
1877,LS1,OFF,A,U,0
1877,LS1,DEF,H,L,1
1877,LS1,DEF,H,R,2
1877,LS1,DEF,H,U,0
1877,LS1,DEF,A,L,1
1877,LS1,DEF,A,R,0
1877,LS1,DEF,A,U,0
1877,SL3,OFF,H,L,1
1877,SL3,OFF,H,R,0
1877,SL3,OFF,H,U,0
1877,SL3,OFF,A,L,1
1877,SL3,OFF,A,R,1
1877,SL3,OFF,A,U,0
1877,SL3,DEF,H,L,0
1877,SL3,DEF,H,R,1
1877,SL3,DEF,H,U,0
1877,SL3,DEF,A,L,0
1877,SL3,DEF,A,R,1
1877,SL3,DEF,A,U,0
1878,BSN,OFF,H,L,0
1878,BSN,OFF,H,R,1
1878,BSN,OFF,H,U,0
1878,BSN,OFF,A,L,0
1878,BSN,OFF,A,R,1
1878,BSN,OFF,A,U,0
1878,BSN,DEF,H,L,1
1878,BSN,DEF,H,R,2
1878,BSN,DEF,H,U,0
1878,BSN,DEF,A,L,1
1878,BSN,DEF,A,R,2
1878,BSN,DEF,A,U,0
1878,CHN,OFF,H,L,0
1878,CHN,OFF,H,R,2
1878,CHN,OFF,H,U,0
1878,CHN,OFF,A,L,1
1878,CHN,OFF,A,R,0
1878,CHN,OFF,A,U,0
1878,CHN,DEF,H,L,0
1878,CHN,DEF,H,R,2
1878,CHN,DEF,H,U,0
1878,CHN,DEF,A,L,0
1878,CHN,DEF,A,R,2
1878,CHN,DEF,A,U,0
1878,CN1,OFF,H,L,1
1878,CN1,OFF,H,R,4
1878,CN1,OFF,H,U,0
1878,CN1,OFF,A,L,1
1878,CN1,OFF,A,R,1
1878,CN1,OFF,A,U,0
1878,CN1,DEF,H,L,1
1878,CN1,DEF,H,R,1
1878,CN1,DEF,H,U,0
1878,CN1,DEF,A,L,0
1878,CN1,DEF,A,R,0
1878,CN1,DEF,A,U,0
1878,IN1,OFF,H,L,1
1878,IN1,OFF,H,R,1
1878,IN1,OFF,H,U,0
1878,IN1,OFF,A,L,1
1878,IN1,OFF,A,R,2
1878,IN1,OFF,A,U,0
1878,IN1,DEF,H,L,1
1878,IN1,DEF,H,R,0
1878,IN1,DEF,H,U,0
1878,IN1,DEF,A,L,0
1878,IN1,DEF,A,R,2
1878,IN1,DEF,A,U,0
1878,ML2,OFF,H,L,1
1878,ML2,OFF,H,R,0
1878,ML2,OFF,H,U,1
1878,ML2,OFF,A,L,1
1878,ML2,OFF,A,R,1
1878,ML2,OFF,A,U,0
1878,ML2,DEF,H,L,0
1878,ML2,DEF,H,R,0
1878,ML2,DEF,H,U,0
1878,ML2,DEF,A,L,0
1878,ML2,DEF,A,R,3
1878,ML2,DEF,A,U,0
1878,PRO,OFF,H,L,1
1878,PRO,OFF,H,R,3
1878,PRO,OFF,H,U,0
1878,PRO,OFF,A,L,2
1878,PRO,OFF,A,R,2
1878,PRO,OFF,A,U,0
1878,PRO,DEF,H,L,0
1878,PRO,DEF,H,R,2
1878,PRO,DEF,H,U,0
1878,PRO,DEF,A,L,0
1878,PRO,DEF,A,R,2
1878,PRO,DEF,A,U,1
1879,BFN,OFF,H,L,0
1879,BFN,OFF,H,R,1
1879,BFN,OFF,H,U,0
1879,BFN,OFF,A,L,1
1879,BFN,OFF,A,R,0
1879,BFN,OFF,A,U,0
1879,BFN,DEF,H,L,0
1879,BFN,DEF,H,R,0
1879,BFN,DEF,H,U,0
1879,BFN,DEF,A,L,2
1879,BFN,DEF,A,R,1
1879,BFN,DEF,A,U,0
1879,BSN,OFF,H,L,3
1879,BSN,OFF,H,R,8
1879,BSN,OFF,H,U,0
1879,BSN,OFF,A,L,3
1879,BSN,OFF,A,R,6
1879,BSN,OFF,A,U,0
1879,BSN,DEF,H,L,1
1879,BSN,DEF,H,R,1
