Name,Team,NameASCII,PlayerId,MLBAMID
Joe Sommer,BAL,Joe Sommer,1012275,122531
Sam Trott,BAL,Sam Trott,1013194,123476
Jimmy Macullar,BAL,Jimmy Macullar,1007936,118105
Jim Clinton,BAL,Jim Clinton,1002357,112410
Tim Manning,BAL,Tim Manning,1008070,118247
Ecky Stearns,BAL,Ecky Stearns,1012445,122701
Tom York,BAL,Tom York,1014355,124679
Oyster Burns,BAL,Oyster Burns,1001716,111759
Gid Gardner,BAL,Gid Gardner,1004523,114606
Dennis Casey,BAL,Dennis Casey,1002037,112082
Hardie Henderson,BAL,Hardie Henderson,1005632,115746
John Burns,BAL,John Burns,1001717,111755
Buttercup Dickerson,BAL,Buttercup Dickerson,1003272,113338
Jim Roxburgh,BAL,Jim Roxburgh,1011263,121513
Jim McLaughlin,BAL,Jim McLaughlin,1008612,118797
Fred Goldsmith,BAL,Fred Goldsmith,1004808,114898
John Ake,BAL,John Ake,1000095,110099
Bob Emslie,BAL,Bob Emslie,1003772,113843
Bill Traffley,BAL,Bill Traffley,1013153,123434
