franchID,franchIDFG,franchIDBR,franchIDLahman,yearFirst,yearLast,yearsActive,franchName,isActive
1,16,ATL,ATL,1871,2023,153,Atlanta Braves,True
2,17,CHC,CHC,1871,2023,151,Chicago Cubs,True
3,18,CIN,CIN,1882,2023,142,Cincinnati Reds,True
4,27,PIT,PIT,1882,2023,142,Pittsburgh Pirates,True
5,28,STL,STL,1882,2023,142,St. Louis Cardinals,True
6,26,PHI,PHI,1883,2023,141,Philadelphia Phillies,True
7,30,SFG,SFG,1883,2023,141,San Francisco Giants,True
8,22,LAD,LAD,1884,2023,140,Los Angeles Dodgers,True
9,2,BAL,BAL,1901,2023,123,Baltimore Orioles,True
10,3,BOS,BOS,1901,2023,123,Boston Red Sox,True
11,4,CHW,CHW,1901,2023,123,Chicago White Sox,True
12,5,CLE,CLE,1901,2023,123,Cleveland Guardians,True
13,6,DET,DET,1901,2023,123,Detroit Tigers,True
14,8,MIN,MIN,1901,2023,123,Minnesota Twins,True
15,10,OAK,OAK,1901,2023,123,Oakland Athletics,True
16,9,NYY,NYY,1903,2023,121,New York Yankees,True
17,1,LAA,ANA,1961,2023,63,Los Angeles Angels,True
18,13,TEX,TEX,1961,2023,63,Texas Rangers,True
19,21,HOU,HOU,1962,2023,62,Houston Astros,True
20,25,NYM,NYM,1962,2023,62,New York Mets,True
21,7,KCR,KCR,1969,2023,55,Kansas City Royals,True
22,23,MIL,MIL,1969,2023,55,Milwaukee Brewers,True
23,24,WSN,WSN,1969,2023,55,Washington Nationals,True
24,29,SDP,SDP,1969,2023,55,San Diego Padres,True
25,11,SEA,SEA,1977,2023,47,Seattle Mariners,True
26,14,TOR,TOR,1977,2023,47,Toronto Blue Jays,True
27,19,COL,COL,1993,2023,31,Colorado Rockies,True
28,20,MIA,FLA,1993,2023,31,Miami Marlins,True
29,12,TBR,TBD,1998,2023,26,Tampa Bay Rays,True
30,15,ARI,ARI,1998,2023,26,Arizona Diamondbacks,True
31,1002,PNA,PNA,1871,1876,6,Philadelphia Athletics,False
32,1020,CFC,CFC,1871,1872,2,Cleveland Forest Citys,False
33,1042,KEK,KEK,1871,1871,1,Fort Wayne Kekiongas,False
34,1053,NNA,NYU,1871,1876,6,New York Mutuals,False
35,1057,OLY,OLY,1871,1872,2,Washington Olympics,False
36,1069,ROK,ROK,1871,1871,1,Rockford Forest Citys,False
37,1080,TRO,TRO,1871,1872,2,Troy Haymakers,False
