yearID,franchID,lgID,divID,parkID,lgIDST,parkIDST,teamName,location,nickname,teamAbrFG,teamAbrBR,teamAbrLahman,teamAbrLahman45,teamAbrRetro,teamAbrMLB,teamCodeMLB
1871,1,NA,,BOS01,,,Boston Red Stockings,Boston,Red Stockings,BSN,BOS,BS1,BS1,BS1,BSN,bs1
1871,2,NA,,CHI01,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHI,CH1,CH1,CH1,CWS,ch1
1871,31,NA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHN,ATH,PH1,PH1,PH1,PHN,ph1
1871,32,NA,,CLE01,,,Cleveland Forest Citys,Cleveland,Forest Citys,CLE,CLE,CL1,CL1,CL1,CLE,cl1
1871,33,NA,,FOR01,,,Fort Wayne Kekiongas,Fort Wayne,Kekiongas,FTW,KEK,FW1,FW1,FW1,FTW,fw1
1871,34,NA,,NYC01,,,New York Mutuals,New York,Mutuals,NYM,NYU,NY2,NY2,NY2,NYM,ny2
1871,35,NA,,WAS01,,,Washington Olympics,Washington,Olympics,WSO,OLY,WS3,WS3,WS3,WSO,ws3
1871,36,NA,,RCK01,,,Rockford Forest Citys,Rockford,Forest Citys,ROC,ROK,RC1,RC1,RC1,ROC,rc1
1871,37,NA,,TRO01,,,Troy Haymakers,Troy,Haymakers,TRO,TRO,TRO,TRO,TRO,TRO,tro
1872,1,NA,,BOS01,,,Boston Red Stockings,Boston,Red Stockings,BSN,BOS,BS1,BS1,BS1,BSN,bs1
1872,31,NA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHN,ATH,PH1,PH1,PH1,PHN,ph1
1872,32,NA,,CLE01,,,Cleveland Forest Citys,Cleveland,Forest Citys,CLE,CLE,CL1,CL1,CL1,CLE,cl1
1872,34,NA,,NYC01,,,New York Mutuals,New York,Mutuals,NYM,NYU,NY2,NY2,NY2,NYM,ny2
1872,35,NA,,WAS01,,,Washington Olympics,Washington,Olympics,WSO,OLY,WS3,WS3,WS3,WSO,ws3
1872,37,NA,,TRO01,,,Troy Haymakers,Troy,Haymakers,TRO,TRO,TRO,TRO,TRO,TRO,tro
1872,38,NA,,BAL02,,,Baltimore Canaries,Baltimore,Canaries,BAL,BAL,BL1,BL1,BL1,BAL,bl1
1872,39,NA,,NYC02,,,Brooklyn Atlantics,Brooklyn,Atlantics,BKA,BRA,BR2,BR2,BR2,BKA,br2
1872,40,NA,,NYC01,,,Brooklyn Eckfords,Brooklyn,Eckfords,BKE,ECK,BR1,BR1,BR1,BKE,br1
1872,41,NA,,MID01,,,Middletown Mansfields,Middletown,Mansfields,MID,MAN,MID,MID,MID,MID,mid
1872,42,NA,,WAS02,,,Washington Nationals,Washington,Nationals,WSN,NAT,WS4,WS4,WS4,WSN,ws4
1873,1,NA,,BOS01,,,Boston Red Stockings,Boston,Red Stockings,BSN,BOS,BS1,BS1,BS1,BSN,bs1
1873,31,NA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHN,ATH,PH1,PH1,PH1,PHN,ph1
1873,34,NA,,NYC01,,,New York Mutuals,New York,Mutuals,NYM,NYU,NY2,NY2,NY2,NYM,ny2
1873,38,NA,,BAL02,,,Baltimore Canaries,Baltimore,Canaries,BAL,BAL,BL1,BL1,BL1,BAL,bl1
1873,39,NA,,NYC01,,,Brooklyn Atlantics,Brooklyn,Atlantics,BKA,BRA,BR2,BR2,BR2,BKA,br2
1873,43,NA,,BAL02,,,Baltimore Marylands,Baltimore,Marylands,BMD,MAR,BL4,BL4,BL4,BMD,bl4
1873,44,NA,,PHI01,,,Philadelphia White Stockings,Philadelphia,White Stockings,PWS,PHI,PH2,PH2,PH2,PWS,ph2
1873,45,NA,,WAV01,,,Elizabeth Resolutes,Elizabeth,Resolutes,ELI,RES,ELI,ELI,ELI,ELI,eli
1873,46,NA,,WAS01,,,Washington Blue Legs,Washington,Blue Legs,WSN,WAS,WS5,WS5,WS5,WSN,ws5
1874,1,NA,,BOS01,,,Boston Red Stockings,Boston,Red Stockings,BSN,BOS,BS1,BS1,BS1,BSN,bs1
1874,2,NA,,CHI02,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHI,CH2,CH2,CH2,CHI,ch2
1874,31,NA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHN,ATH,PH1,PH1,PH1,PHN,ph1
1874,34,NA,,NYC01,,,New York Mutuals,New York,Mutuals,NYM,NYU,NY2,NY2,NY2,NYM,ny2
1874,38,NA,,BAL02,,,Baltimore Canaries,Baltimore,Canaries,BAL,BAL,BL1,BL1,BL1,BAL,bl1
1874,39,NA,,NYC01,,,Brooklyn Atlantics,Brooklyn,Atlantics,BKA,BRA,BR2,BR2,BR2,BKA,br2
1874,44,NA,,PHI01,,,Philadelphia White Stockings,Philadelphia,White Stockings,PWS,PHI,PH2,PH2,PH2,PWS,ph2
1874,47,NA,,HRT01,,,Hartford Dark Blues,Hartford,Dark Blues,HAR,HAR,HR1,HR1,HR1,HAR,hr1
1875,1,NA,,BOS01,,,Boston Red Stockings,Boston,Red Stockings,BSN,BOS,BS1,BS1,BS1,BSN,bs1
1875,2,NA,,CHI02,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHI,CH2,CH2,CH2,CHI,ch2
1875,31,NA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHN,ATH,PH1,PH1,PH1,PHN,ph1
1875,34,NA,,NYC01,,,New York Mutuals,New York,Mutuals,NYM,NYU,NY2,NY2,NY2,NYM,ny2
1875,39,NA,,NYC01,,,Brooklyn Atlantics,Brooklyn,Atlantics,BKA,BRA,BR2,BR2,BR2,BKA,br2
1875,44,NA,,PHI01,,,Philadelphia White Stockings,Philadelphia,White Stockings,PWS,PHI,PH2,PH2,PH2,PWS,ph2
1875,47,NA,,HRT01,,,Hartford Dark Blues,Hartford,Dark Blues,HAR,HAR,HR1,HR1,HR1,HAR,hr1
1875,48,NA,,PHI02,,,Philadelphia Centennials,Philadelphia,Centennials,PCN,CEN,PH3,PH3,PH3,PCN,ph3
1875,49,NA,,NEW01,,,New Haven Elm Citys,New Haven,Elm Citys,NHE,NHV,NH1,NH1,NH1,NH,nh1
1875,50,NA,,STL02,,,St. Louis Brown Stockings,St. Louis,Brown Stockings,STL,STL,SL2,SL2,SL2,STL,sl2
1875,51,NA,,STL01,,,St. Louis Red Stockings,St. Louis,Red Stockings,SLR,SLR,SL1,SL1,SL1,SLR,sl1
1875,52,NA,,KEO01,,,Keokuk Westerns,Keokuk,Westerns,KEO,WES,KEO,KEO,KEO,KEO,keo
1875,53,NA,,WAS01,,,Washington Nationals,Washington,Nationals,WSO,WAS,WS6,WS6,WS6,WSO,ws6
1876,1,NL,,BOS01,,,Boston Red Caps,Boston,Red Caps,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1876,2,NL,,CHI02,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1876,31,NL,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHN,ATH,PHN,PHN,PHN,PHN,phn
1876,34,NL,,NYC01,,,New York Mutuals,New York,Mutuals,NYM,NYU,NY3,NY3,NY3,NYM,ny3
1876,47,NL,,HRT01,,,Hartford Dark Blues,Hartford,Dark Blues,HAR,HAR,HAR,HAR,HAR,HAR,har
1876,50,NL,,STL02,,,St. Louis Brown Stockings,St. Louis,Brown Stockings,STL,STL,SL3,SL3,SL3,STL,sl3
1876,54,NL,,CIN02,,,Cincinnati Reds,Cincinnati,Reds,CIN,CIN,CN1,CN1,CN1,CIN,cn1
1876,55,NL,,LOU01,,,Louisville Grays,Louisville,Grays,LOU,LOU,LS1,LS1,LS1,LOU,ls1
1877,1,NL,,BOS01,,,Boston Red Caps,Boston,Red Caps,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1877,2,NL,,CHI02,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1877,47,NL,,NYC01,,,Hartford Dark Blues,Hartford,Dark Blues,HAR,HAR,HAR,HAR,HAR,HAR,har
1877,50,NL,,STL02,,,St. Louis Brown Stockings,St. Louis,Brown Stockings,STL,STL,SL3,SL3,SL3,STL,sl3
1877,54,NL,,CIN02,,,Cincinnati Reds,Cincinnati,Reds,CIN,CIN,CN1,CN1,CN1,CIN,cn1
1877,55,NL,,LOU01,,,Louisville Grays,Louisville,Grays,LOU,LOU,LS1,LS1,LS1,LOU,ls1
1878,1,NL,,BOS01,,,Boston Red Caps,Boston,Red Caps,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1878,2,NL,,CHI03,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1878,54,NL,,CIN02,,,Cincinnati Reds,Cincinnati,Reds,CIN,CIN,CN1,CN1,CN1,CIN,cn1
1878,56,NL,,IND01,,,Indianapolis Blues,Indianapolis,Blues,IND,IND,IN1,IN1,IN1,IND,in1
1878,57,NL,,MIL01,,,Milwaukee Grays,Milwaukee,Grays,MIL,MLG,ML2,ML2,ML2,MIL,ml2
1878,58,NL,,PRO02,,,Providence Grays,Providence,Grays,PRO,PRO,PRO,PRO,PRO,PRO,pro
1879,1,NL,,BOS01,,,Boston Red Caps,Boston,Red Caps,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1879,2,NL,,CHI03,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1879,54,NL,,CIN02,,,Cincinnati Reds,Cincinnati,Reds,CIN,CIN,CN1,CN1,CN1,CIN,cn1
1879,58,NL,,PRO02,,,Providence Grays,Providence,Grays,PRO,PRO,PRO,PRO,PRO,PRO,pro
1879,59,NL,,BUF01,,,Buffalo Bisons,Buffalo,Bisons,BUF,BUF,BFN,BFN,BFN,BUF,bfn
1879,60,NL,,CLE02,,,Cleveland Blues,Cleveland,Blues,CLE,CLV,CL2,CL2,CL2,CLE,cl2
1879,61,NL,,SYR01,,,Syracuse Stars,Syracuse,Stars,SYR,SYR,SR1,SR1,SR1,SYR,sr1
1879,62,NL,,TRO02,,,Troy Trojans,Troy,Trojans,TRO,TRO,TRN,TRN,TRN,TRO,trn
1880,1,NL,,BOS01,,,Boston Red Caps,Boston,Red Caps,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1880,2,NL,,CHI03,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1880,58,NL,,PRO02,,,Providence Grays,Providence,Grays,PRO,PRO,PRO,PRO,PRO,PRO,pro
1880,59,NL,,BUF01,,,Buffalo Bisons,Buffalo,Bisons,BUF,BUF,BFN,BFN,BFN,BUF,bfn
1880,60,NL,,CLE02,,,Cleveland Blues,Cleveland,Blues,CLE,CLV,CL2,CL2,CL2,CLE,cl2
1880,62,NL,,TRO01,,,Troy Trojans,Troy,Trojans,TRO,TRO,TRN,TRN,TRN,TRO,trn
1880,63,NL,,WOR01,,,Worcester Ruby Legs,Worcester,Ruby Legs,WOR,WOR,WOR,WOR,WOR,WOR,wrc
1880,64,NL,,CIN03,,,Cincinnati Stars,Cincinnati,Stars,CIN,CIN,CN1,CN1,CN4,CIN,cn1
1881,1,NL,,BOS01,,,Boston Red Caps,Boston,Red Caps,BSN,BSN,BSN,BSN,BSN,BSN,bsn
