Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,Plays,NameASCII,PlayerId,MLBAMID
2002,"Alfredo Amezaga","ANA","SS",5,3,34,7,11,0,0,0,1,0,1,0,,,,,,0,"Alfredo Amezaga",1,407792
2002,"Garret Anderson","ANA","CF",14,12,99,40,1,0,0,0,0,1,0,0,,,,,,0,"Garret Anderson",2,110236
2002,"Garret Anderson","ANA","LF",137,135,1177.2,262,6,2,1,1,0,2,0,0,,,,,,0,"Garret Anderson",2,110236
2002,"David Eckstein","ANA","SS",147,146,1276.1,207,396,14,7,7,81,47,33,11,,,,,,0,"David Eckstein",10,275930
2002,"Darin Erstad","ANA","1B",5,0,8.2,8,0,0,0,0,2,0,0,2,1,,,,,0,"Darin Erstad",11,113889
2002,"Darin Erstad","ANA","CF",143,142,1227.2,453,10,1,0,1,0,3,0,1,,,,,,0,"Darin Erstad",11,113889
2002,"Brad Fullmer","ANA","1B",29,27,211.1,176,7,1,1,0,21,0,0,22,4,,,,,0,"Brad Fullmer",13,114485
2002,"Benji Gil","ANA","1B",10,5,40.2,33,3,1,1,0,5,0,0,6,0,,,,,0,"Benji Gil",14,114768
2002,"Benji Gil","ANA","2B",26,22,182.2,39,58,1,0,1,9,3,5,2,,,,,,0,"Benji Gil",14,114768
2002,"Benji Gil","ANA","SS",14,7,71.1,16,32,2,2,0,4,4,0,1,,,,,,0,"Benji Gil",14,114768
2002,"Troy Glaus","ANA","3B",156,153,1335.1,100,282,20,12,8,26,28,0,3,,,,,,0,"Troy Glaus",15,136267
2002,"Troy Glaus","ANA","SS",2,0,2,1,1,0,0,0,1,0,1,0,,,,,,0,"Troy Glaus",15,136267
2002,"Adam Kennedy","ANA","2B",138,123,1110,276,365,11,8,3,84,34,54,3,,,,,,0,"Adam Kennedy",19,150456
2002,"Adam Kennedy","ANA","CF",1,0,0.2,0,0,0,0,0,0,0,0,0,,,,,,0,"Adam Kennedy",19,150456
2002,"Jose Nieves","ANA","1B",3,0,16.1,16,1,0,0,0,3,1,0,2,1,,,,,0,"Jose Nieves",26,136303
2002,"Jose Nieves","ANA","2B",18,16,130,30,31,4,3,1,8,0,8,0,,,,,,0,"Jose Nieves",26,136303
2002,"Jose Nieves","ANA","3B",4,1,14,0,5,0,0,0,0,0,0,0,,,,,,0,"Jose Nieves",26,136303
2002,"Jose Nieves","ANA","CF",1,0,1,1,0,1,1,0,0,0,0,0,,,,,,0,"Jose Nieves",26,136303
2002,"Jose Nieves","ANA","RF",1,0,3,0,0,0,0,0,0,0,0,0,,,,,,0,"Jose Nieves",26,136303
2002,"Jose Nieves","ANA","SS",13,6,68.2,11,19,2,1,1,4,2,2,0,,,,,,0,"Jose Nieves",26,136303
2002,"Orlando Palmeiro","ANA","CF",11,5,62,23,0,1,1,0,0,0,0,0,,,,,,0,"Orlando Palmeiro",28,120190
2002,"Orlando Palmeiro","ANA","LF",33,22,208.2,50,1,0,0,0,0,0,0,0,,,,,,0,"Orlando Palmeiro",28,120190
2002,"Orlando Palmeiro","ANA","RF",47,35,313,73,2,0,0,0,0,1,0,0,,,,,,0,"Orlando Palmeiro",28,120190
2002,"Julio Ramirez","ANA","CF",15,2,46,11,0,0,0,0,0,0,0,0,,,,,,0,"Julio Ramirez",31,150369
2002,"Julio Ramirez","ANA","RF",9,5,46.2,14,1,0,0,0,0,0,0,0,,,,,,0,"Julio Ramirez",31,150369
2002,"Tim Salmon","ANA","RF",111,109,918.2,202,4,3,2,1,0,0,0,0,,,,,,0,"Tim Salmon",32,121640
2002,"Scott Spiezio","ANA","1B",143,125,1106.1,1075,59,3,1,2,92,7,4,95,16,,,,,0,"Scott Spiezio",37,122596
2002,"Scott Spiezio","ANA","2B",1,0,0.2,0,0,0,0,0,0,0,0,0,,,,,,0,"Scott Spiezio",37,122596
2002,"Scott Spiezio","ANA","3B",20,8,96,14,19,2,0,2,2,2,0,0,,,,,,0,"Scott Spiezio",37,122596
2002,"Scott Spiezio","ANA","LF",8,0,15,3,0,0,0,0,0,0,0,0,,,,,,0,"Scott Spiezio",37,122596
2002,"Scott Spiezio","ANA","RF",2,0,3,0,0,0,0,0,0,0,0,0,,,,,,0,"Scott Spiezio",37,122596
2002,"Shawn Wooten","ANA","1B",16,5,67,63,4,0,0,0,3,0,0,3,0,,,,,0,"Shawn Wooten",43,279564
2002,"Shawn Wooten","ANA","3B",1,0,7,0,0,0,0,0,0,0,0,0,,,,,,0,"Shawn Wooten",43,279564
2002,"Rod Barajas","ARI","1B",1,0,2.1,2,0,0,0,0,0,0,0,0,0,,,,,0,"Rod Barajas",45,150148
2002,"Danny Bautista","ARI","CF",5,4,36.1,9,0,0,0,0,0,0,0,0,,,,,,0,"Danny Bautista",47,110712
2002,"Danny Bautista","ARI","RF",37,35,293,56,0,1,1,0,0,0,0,0,,,,,,0,"Danny Bautista",47,110712
2002,"Jay Bell","ARI","1B",5,3,25,16,0,0,0,0,0,0,0,0,0,,,,,0,"Jay Bell",48,110826
2002,"Jay Bell","ARI","2B",2,0,3.1,1,2,0,0,0,0,0,0,0,,,,,,0,"Jay Bell",48,110826
2002,"Jay Bell","ARI","3B",6,5,42.2,4,8,0,0,0,2,2,0,0,,,,,,0,"Jay Bell",48,110826
2002,"Jay Bell","ARI","SS",2,1,9,1,4,0,0,0,0,0,0,0,,,,,,0,"Jay Bell",48,110826
2002,"Alex Cintron","ARI","2B",18,14,131.2,26,31,0,0,0,8,5,3,1,,,,,,0,"Alex Cintron",50,400090
2002,"Alex Cintron","ARI","3B",9,1,22.2,2,7,0,0,0,1,1,0,0,,,,,,0,"Alex Cintron",50,400090
2002,"Alex Cintron","ARI","SS",8,5,47,7,18,1,0,1,5,4,1,0,,,,,,0,"Alex Cintron",50,400090
2002,"Greg Colbrunn","ARI","1B",40,36,267.2,261,11,2,2,0,16,0,0,16,4,,,,,0,"Greg Colbrunn",51,112461
2002,"Greg Colbrunn","ARI","3B",5,3,27,1,3,0,0,0,0,0,0,0,,,,,,0,"Greg Colbrunn",51,112461
2002,"Craig Counsell","ARI","2B",13,10,81,24,23,0,0,0,5,0,5,0,,,,,,0,"Craig Counsell",52,112736
2002,"Craig Counsell","ARI","3B",94,88,774.2,68,193,7,5,2,10,9,2,3,,,,,,0,"Craig Counsell",52,112736
2002,"Craig Counsell","ARI","SS",22,11,117,23,37,1,1,0,6,5,1,2,,,,,,0,"Craig Counsell",52,112736
2002,"Steve Finley","ARI","CF",143,131,1169,318,4,2,2,0,0,2,0,0,,,,,,0,"Steve Finley",54,114135
2002,"Luis Gonzalez","ARI","LF",146,143,1246.2,251,4,4,4,0,0,1,0,0,,,,,,0,"Luis Gonzalez",55,114935
2002,"Mark Grace","ARI","1B",98,70,682,649,33,7,7,0,56,3,1,54,17,,,,,0,"Mark Grace",56,115007
2002,"Jose Guillen","ARI","CF",2,2,12.2,4,0,0,0,0,0,0,0,0,,,,,,0,"Jose Guillen",57,115229
2002,"Jose Guillen","ARI","LF",2,2,15.1,2,0,0,0,0,0,0,0,0,,,,,,0,"Jose Guillen",57,115229
2002,"Jose Guillen","CIN","LF",4,3,21.2,4,1,1,1,0,0,0,0,0,,,,,,0,"Jose Guillen",57,115229
2002,"Jose Guillen","ARI","RF",34,26,240,48,2,0,0,0,0,0,0,0,,,,,,0,"Jose Guillen",57,115229
2002,"Jose Guillen","CIN","RF",26,22,204.1,38,2,0,0,0,0,0,0,0,,,,,,0,"Jose Guillen",57,115229
2002,"Junior Spivey","ARI","2B",143,138,1230.2,281,358,15,9,6,58,10,46,6,,,,,,0,"Junior Spivey",74,150160
2002,"Matt Williams","ARI","3B",56,54,473,31,95,4,3,1,5,5,1,1,,,,,,0,"Matt Williams",77,124326
2002,"Tony Womack","ARI","RF",1,0,2,0,0,0,0,0,0,0,0,0,,,,,,0,"Tony Womack",78,124523
2002,"Tony Womack","ARI","SS",149,145,1271.2,179,361,20,9,11,64,42,22,5,,,,,,0,"Tony Womack",78,124523
2002,"Darren Bragg","ATL","CF",18,9,110.1,30,0,1,1,0,0,0,0,0,,,,,,0,"Darren Bragg",83,111369
2002,"Darren Bragg","ATL","LF",12,6,61.1,11,1,1,1,0,0,0,0,0,,,,,,0,"Darren Bragg",83,111369
2002,"Darren Bragg","ATL","RF",36,22,228.1,56,1,1,0,1,0,0,0,0,,,,,,0,"Darren Bragg",83,111369
2002,"Vinny Castilla","ATL","3B",139,138,1222.1,74,255,6,3,3,21,21,1,2,,,,,,0,"Vinny Castilla",84,112106
2002,"Julio Franco","ATL","1B",95,70,696,714,58,8,6,1,76,4,2,74,10,,,,,0,"Julio Franco",87,212297
2002,"Rafael Furcal","ATL","2B",4,4,30,7,11,0,0,0,5,5,0,0,,,,,,0,"Rafael Furcal",88,279577
2002,"Rafael Furcal","ATL","SS",150,147,1314.2,246,467,26,17,9,106,54,49,8,,,,,,0,"Rafael Furcal",88,279577
2002,"Marcus Giles","ATL","2B",52,47,424.2,118,139,6,5,1,32,14,16,4,,,,,,0,"Marcus Giles",89,279578
2002,"Marcus Giles","ATL","3B",8,6,62.1,6,13,2,1,1,2,2,0,0,,,,,,0,"Marcus Giles",89,279578
2002,"Wes Helms","ATL","1B",45,31,293,286,27,4,3,1,31,3,1,30,7,,,,,0,"Wes Helms",94,136500
2002,"Wes Helms","ATL","3B",24,14,151,8,23,1,1,0,0,0,0,0,,,,,,0,"Wes Helms",94,136500
2002,"Wes Helms","ATL","LF",5,2,29,7,1,0,0,0,0,0,0,0,,,,,,0,"Wes Helms",94,136500
2002,"Wes Helms","ATL","RF",4,1,23,8,0,0,0,0,0,0,0,0,,,,,,0,"Wes Helms",94,136500
2002,"Andruw Jones","ATL","CF",154,152,1357,405,4,3,2,1,0,1,0,1,,,,,,0,"Andruw Jones",96,116662
2002,"Chipper Jones","ATL","LF",152,152,1342,269,8,7,6,0,0,0,0,0,,,,,,0,"Chipper Jones",97,116706
2002,"Ryan Langerhans","ATL","LF",1,0,2,0,0,0,0,0,0,0,0,0,,,,,,0,"Ryan Langerhans",98,407798
2002,"George Lombard","DET","CF",40,40,333.2,112,0,2,0,2,0,0,0,0,,,,,,0,"George Lombard",101,136601
2002,"George Lombard","DET","LF",29,24,215.2,45,2,1,1,0,0,0,0,0,,,,,,0,"George Lombard",101,136601
2002,"George Lombard","DET","RF",1,1,9,1,0,0,0,0,0,0,0,0,,,,,,0,"George Lombard",101,136601
2002,"Gary Sheffield","ATL","RF",127,127,1102,232,7,4,3,1,0,0,0,0,,,,,,0,"Gary Sheffield",114,122111
2002,"B.J. Surhoff","ATL","1B",11,11,95.2,72,6,0,0,0,12,0,0,12,5,,,,,0,"B.J. Surhoff",117,122989
2002,"B.J. Surhoff","ATL","RF",9,9,80,27,2,0,0,0,0,0,0,0,,,,,,0,"B.J. Surhoff",117,122989
2002,"Chad Allen","CLE","LF",3,3,27,4,0,0,0,0,0,0,0,0,,,,,,0,"Chad Allen",122,150210
2002,"Chad Allen","CLE","RF",1,0,2,0,0,0,0,0,0,0,0,0,,,,,,0,"Chad Allen",122,150210
2002,"Alex Arias","NYY","3B",4,1,11,0,3,1,0,1,1,1,0,0,,,,,,0,"Alex Arias",123,110312
2002,"Alex Arias","NYY","SS",1,1,9,0,3,0,0,0,0,0,0,0,,,,,,0,"Alex Arias",123,110312
2002,"Tony Batista","BAL","3B",154,154,1373.2,111,285,16,12,4,30,31,1,2,,,,,,0,"Tony Batista",124,110682
2002,"Larry Bigbie","BAL","CF",1,1,8,2,0,0,0,0,0,0,0,0,,,,,,0,"Larry Bigbie",128,406933
2002,"Larry Bigbie","BAL","LF",6,5,44,12,0,0,0,0,0,0,0,0,,,,,,0,"Larry Bigbie",128,406933
2002,"Larry Bigbie","BAL","RF",6,1,13,5,0,0,0,0,0,0,0,0,,,,,,0,"Larry Bigbie",128,406933
2002,"Mike Bordick","BAL","SS",117,115,1007.2,196,373,1,1,0,85,40,42,9,,,,,,0,"Mike Bordick",129,111234
2002,"Jeff Conine","BAL","1B",103,102,917.2,949,57,10,6,4,92,4,0,96,10,,,,,0,"Jeff Conine",131,112559
2002,"Jeff Conine","BAL","LF",6,6,48,8,0,0,0,0,0,0,0,0,,,,,,0,"Jeff Conine",131,112559
2002,"Marty Cordova","BAL","LF",72,72,620.1,132,2,4,3,1,0,1,0,0,,,,,,0,"Marty Cordova",132,112682
2002,"Luis C. Garcia","BAL","CF",1,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,"Luis C. Garcia",140,408202
2002,"Luis C. Garcia","BAL","RF",1,0,2,1,0,0,0,0,0,0,0,0,,,,,,0,"Luis C. Garcia",140,408202
2002,"Jay Gibbons","BAL","1B",30,28,243,208,17,1,0,1,23,2,1,23,8,,,,,0,"Jay Gibbons",141,400158
2002,"Jay Gibbons","BAL","RF",92,91,787.2,175,6,1,0,1,0,2,0,0,,,,,,0,"Jay Gibbons",141,400158
2002,"Jerry Hairston","BAL","2B",119,118,1043.2,232,365,11,4,7,70,28,44,3,,,,,,0,"Jerry Hairston",144,150020
2002,"Jose Leon","BAL","1B",17,13,122.1,135,9,0,0,0,14,1,0,15,0,,,,,0,"Jose Leon",149,150459
2002,"Jose Leon","BAL","3B",12,8,76,7,16,0,0,0,2,2,0,0,,,,,,0,"Jose Leon",149,150459
2002,"Jose Leon","BAL","LF",2,2,17,4,0,1,1,0,0,0,0,0,,,,,,0,"Jose Leon",149,150459
2002,"Luis Matos","BAL","CF",6,4,36,11,0,0,0,0,0,0,0,0,,,,,,0,"Luis Matos",152,275928
2002,"Luis Matos","BAL","LF",2,0,2,1,0,0,0,0,0,0,0,0,,,,,,0,"Luis Matos",152,275928
2002,"Luis Matos","BAL","RF",7,4,38.2,5,0,0,0,0,0,0,0,0,,,,,,0,"Luis Matos",152,275928
2002,"Gary Matthews","BAL","CF",16,15,125,34,3,2,2,0,0,0,0,0,,,,,,0,"Gary Matthews",153,150439
2002,"Gary Matthews","BAL","LF",16,10,96.2,15,1,1,1,0,0,0,0,0,,,,,,0,"Gary Matthews",153,150439
2002,"Gary Matthews","BAL","RF",76,63,579.1,130,2,3,3,0,0,2,0,1,,,,,,0,"Gary Matthews",153,150439
2002,"Ryan McGuire","BAL","1B",7,4,37.2,36,3,0,0,0,3,0,0,4,0,,,,,0,"Ryan McGuire",155,118736
2002,"Melvin Mora","BAL","2B",12,9,82.2,21,41,1,1,0,9,2,7,0,,,,,,0,"Melvin Mora",157,206551
2002,"Melvin Mora","BAL","CF",31,31,257.1,86,3,1,0,1,0,2,0,0,,,,,,0,"Melvin Mora",157,206551
2002,"Melvin Mora","BAL","LF",74,63,588.2,160,6,2,2,0,0,3,0,0,,,,,,0,"Melvin Mora",157,206551
2002,"Melvin Mora","BAL","RF",5,3,30,6,0,0,0,0,0,0,0,0,,,,,,0,"Melvin Mora",157,206551
2002,"Melvin Mora","BAL","SS",41,36,309,57,109,7,2,5,15,8,8,1,,,,,,0,"Melvin Mora",157,206551
2002,"Mike Moriarty","BAL","2B",2,2,18,4,10,0,0,0,4,2,2,0,,,,,,0,"Mike Moriarty",158,150225
2002,"Mike Moriarty","BAL","3B",1,0,1,0,1,0,0,0,0,0,0,0,,,,,,0,"Mike Moriarty",158,150225
2002,"Mike Moriarty","BAL","SS",4,1,13,2,7,0,0,0,0,0,0,0,,,,,,0,"Mike Moriarty",158,150225
2002,"Chris Richard","BAL","1B",9,7,60,63,3,0,0,0,0,0,0,0,0,,,,,0,"Chris Richard",163,276537
2002,"Brian Roberts","BAL","2B",25,25,222.1,44,80,3,2,1,17,7,10,1,,,,,,0,"Brian Roberts",166,406878
2002,"David Segui","BAL","1B",7,7,57,61,5,0,0,0,11,0,0,12,2,,,,,0,"David Segui",169,121977
2002,"Chris Singleton","BAL","CF",126,111,1023.1,273,2,4,2,2,0,0,0,0,,,,,,0,"Chris Singleton",170,150334
2002,"Carlos Baerga","BOS","2B",17,10,88,25,32,1,0,1,4,1,3,0,,,,,,0,"Carlos Baerga",175,110427
2002,"Carlos Baerga","BOS","3B",1,0,2,0,0,0,0,0,0,0,0,0,,,,,,0,"Carlos Baerga",175,110427
2002,"Tony Clark","BOS","1B",85,70,638,652,57,6,5,0,48,5,1,48,13,,,,,0,"Tony Clark",182,112316
2002,"Johnny Damon","BOS","CF",151,150,1319,351,6,1,1,0,0,2,0,0,,,,,,0,"Johnny Damon",185,113028
2002,"Brian Daubach","BOS","1B",60,54,455.2,441,31,5,2,3,33,1,0,34,1,,,,,0,"Brian Daubach",186,136766
2002,"Brian Daubach","BOS","LF",35,31,276.1,46,1,0,0,0,0,0,0,0,,,,,,0,"Brian Daubach",186,136766
2002,"Brian Daubach","BOS","RF",13,8,74,19,2,0,0,0,0,0,0,0,,,,,,0,"Brian Daubach",186,136766
2002,"Juan Diaz","BOS","1B",1,1,6,8,0,0,0,0,0,0,0,0,0,,,,,0,"Juan Diaz",187,400129
2002,"Nomar Garciaparra","BOS","SS",154,153,1341,220,465,25,11,14,85,36,47,10,,,,,,0,"Nomar Garciaparra",190,114596
2002,"Rickey Henderson","BOS","CF",4,3,27,5,0,1,1,0,0,0,0,0,,,,,,0,"Rickey Henderson",194,115749
2002,"Rickey Henderson","BOS","LF",48,42,375,77,4,4,4,0,0,0,0,0,,,,,,0,"Rickey Henderson",194,115749
2002,"Rickey Henderson","BOS","RF",1,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,"Rickey Henderson",194,115749
