Season,Name,Team,Pos,,NameASCII,PlayerId,MLBAMID
1884,"Nin Alexander","STL","C",,"Nin Alexander",1000127,110133
1884,"Bob Caruthers","STL","P",,"Bob Caruthers",1002026,112072
1884,"Charlie Comiskey","STL","1B",,"Charlie Comiskey",1002484,112539
1884,"Charlie Comiskey","STL","2B",,"Charlie Comiskey",1002484,112539
1884,"Charlie Comiskey","STL","P",,"Charlie Comiskey",1002484,112539
1884,"Daisy Davis","STL","P",,"Daisy Davis",1003044,113120
1884,"Pat Deasley","STL","1B",,"Pat Deasley",1003116,113176
1884,"Pat Deasley","STL","C",,"Pat Deasley",1003116,113176
1884,"Tom Dolan","STL","C",,"Tom Dolan",1003364,113428
1884,"Dave Foutz","STL","P",,"Dave Foutz",1004266,114346
1884,"Charles Fulmer","STL","2B",,"Charles Fulmer",1004400,114486
1884,"Bill Gleason","STL","3B",,"Bill Gleason",1004764,114857
1884,"Bill Gleason","STL","SS",,"Bill Gleason",1004764,114857
1884,"Walt Kinzie","STL","2B",,"Walt Kinzie",1006954,117104
1884,"Charlie Krehmeyer","STL","1B",,"Charlie Krehmeyer",1007152,117305
1884,"Charlie Krehmeyer","STL","C",,"Charlie Krehmeyer",1007152,117305
1884,"Arlie Latham","STL","3B",,"Arlie Latham",1007371,117528
1884,"Arlie Latham","STL","C",,"Arlie Latham",1007371,117528
1884,"Jim McCauley","STL","C",,"Jim McCauley",1008386,118567
1884,"Jumbo McGinnis","STL","P",,"Jumbo McGinnis",1008528,118711
1884,"Hugh Nicol","STL","2B",,"Hugh Nicol",1009574,119777
1884,"Hugh Nicol","STL","3B",,"Hugh Nicol",1009574,119777
1884,"Hugh Nicol","STL","SS",,"Hugh Nicol",1009574,119777
1884,"Tip O'Neill","STL","1B",,"Tip O'Neill",1009821,120022
1884,"Tip O'Neill","STL","P",,"Tip O'Neill",1009821,120022
1884,"Joe Quest","STL","2B",,"Joe Quest",1010594,120830
1884,"George Strief","STL","1B",,"George Strief",1012618,122876
1884,"George Strief","STL","2B",,"George Strief",1012618,122876
1884,"Al Struve","STL","C",,"Al Struve",1012636,122892
1885,"Sam Barkley","STL","1B",,"Sam Barkley",1000552,110570
1885,"Sam Barkley","STL","2B",,"Sam Barkley",1000552,110570
1885,"Cal Broughton","STL","C",,"Cal Broughton",1001483,111521
1885,"Doc Bushong","STL","3B",,"Doc Bushong",1001755,111799
1885,"Doc Bushong","STL","C",,"Doc Bushong",1001755,111799
1885,"Bob Caruthers","STL","P",,"Bob Caruthers",1002026,112072
1885,"Charlie Comiskey","STL","1B",,"Charlie Comiskey",1002484,112539
1885,"Mike Drissel","STL","C",,"Mike Drissel",1003508,113573
1885,"Dave Foutz","STL","1B",,"Dave Foutz",1004266,114346
1885,"Dave Foutz","STL","P",,"Dave Foutz",1004266,114346
1885,"Bill Gleason","STL","SS",,"Bill Gleason",1004764,114857
1885,"Arlie Latham","STL","3B",,"Arlie Latham",1007371,117528
1885,"Arlie Latham","STL","C",,"Arlie Latham",1007371,117528
1885,"Jumbo McGinnis","STL","P",,"Jumbo McGinnis",1008528,118711
1885,"Hugh Nicol","STL","3B",,"Hugh Nicol",1009574,119777
1885,"William Robinson","STL","1B",,"William Robinson",1011079,121325
1885,"William Robinson","STL","2B",,"William Robinson",1011079,121325
1885,"William Robinson","STL","3B",,"William Robinson",1011079,121325
1885,"William Robinson","STL","C",,"William Robinson",1011079,121325
1885,"Dan Sullivan","STL","1B",,"Dan Sullivan",1012687,122941
1885,"Dan Sullivan","STL","C",,"Dan Sullivan",1012687,122941
1886,"Doc Bushong","STL","1B",,"Doc Bushong",1001755,111799
1886,"Doc Bushong","STL","C",,"Doc Bushong",1001755,111799
1886,"Bob Caruthers","STL","2B",,"Bob Caruthers",1002026,112072
1886,"Bob Caruthers","STL","P",,"Bob Caruthers",1002026,112072
1886,"Charlie Comiskey","STL","1B",,"Charlie Comiskey",1002484,112539
1886,"Charlie Comiskey","STL","2B",,"Charlie Comiskey",1002484,112539
1886,"Dave Foutz","STL","1B",,"Dave Foutz",1004266,114346
1886,"Dave Foutz","STL","P",,"Dave Foutz",1004266,114346
1886,"Bill Gleason","STL","SS",,"Bill Gleason",1004764,114857
1886,"Jumbo Harting","STL","C",,"Jumbo Harting",1005346,115458
1886,"Nat Hudson","STL","1B",,"Nat Hudson",1006139,116266
1886,"Nat Hudson","STL","P",,"Nat Hudson",1006139,116266
1886,"Rudy Kemmler","STL","1B",,"Rudy Kemmler",1006825,116970
1886,"Rudy Kemmler","STL","C",,"Rudy Kemmler",1006825,116970
1886,"Arlie Latham","STL","2B",,"Arlie Latham",1007371,117528
1886,"Arlie Latham","STL","3B",,"Arlie Latham",1007371,117528
1886,"Jumbo McGinnis","STL","P",,"Jumbo McGinnis",1008528,118711
1886,"Trick McSorley","STL","SS",,"Trick McSorley",1008692,118877
1886,"Joe Murphy","STL","P",,"Joe Murphy",1009366,119562
1886,"Hugh Nicol","STL","2B",,"Hugh Nicol",1009574,119777
1886,"Hugh Nicol","STL","SS",,"Hugh Nicol",1009574,119777
1886,"William Robinson","STL","2B",,"William Robinson",1011079,121325
1886,"William Robinson","STL","3B",,"William Robinson",1011079,121325
1886,"William Robinson","STL","P",,"William Robinson",1011079,121325
1886,"William Robinson","STL","SS",,"William Robinson",1011079,121325
1886,"Curt Welch","STL","2B",,"Curt Welch",1013751,124056
