Season,Name,Team,,NameASCII,PlayerId,MLBAMID
1886,"Dave Foutz","STL",,"Dave Foutz",1004266,114346
1885,"Bob Caruthers","STL",,"Bob Caruthers",1002026,112072
1886,"Bob Caruthers","STL",,"Bob Caruthers",1002026,112072
1884,"Jumbo McGinnis","STL",,"Jumbo McGinnis",1008528,118711
1885,"Dave Foutz","STL",,"Dave Foutz",1004266,114346
1884,"Daisy Davis","STL",,"Daisy Davis",1003044,113120
1886,"Nat Hudson","STL",,"Nat Hudson",1006139,116266
1884,"Dave Foutz","STL",,"Dave Foutz",1004266,114346
1885,"Jumbo McGinnis","STL",,"Jumbo McGinnis",1008528,118711
1884,"Bob Caruthers","STL",,"Bob Caruthers",1002026,112072
1886,"Jumbo McGinnis","STL",,"Jumbo McGinnis",1008528,118711
1884,"Tip O'Neill","STL",,"Tip O'Neill",1009821,120022
1884,"Charlie Comiskey","STL",,"Charlie Comiskey",1002484,112539
1886,"Joe Murphy","STL",,"Joe Murphy",1009366,119562
1886,"William Robinson","STL",,"William Robinson",1011079,121325
