PlayerName,PlayerId,G,AB,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS
Rickey Henderson,194,3081,10961,13346,2182,510,66,297,2295,1115,2190,61,1694,98,67,30,173,1406,335
Lou Brock,1001458,2616,10332,11238,2247,486,141,149,1610,900,761,124,1730,49,46,47,114,938,307
Brett Butler,1001772,2213,8180,9545,1913,277,131,54,1359,578,1129,23,907,38,51,147,62,558,257
Maury Wills,1014053,1942,7588,8304,1866,177,71,20,1067,458,552,26,684,16,29,119,92,586,208
Juan Pierre,443,1994,7525,8280,1850,255,94,18,1075,517,464,8,479,102,20,167,92,614,203
Bert Campaneris,1001868,2328,8684,9625,1771,313,86,79,1181,646,618,15,1142,64,60,199,106,649,199
Rod Carew,1001942,2469,9315,10550,2404,445,112,92,1424,1015,1018,144,1028,25,64,128,216,353,186
Otis Nixon,1009608,1709,5115,5800,1199,142,27,11,878,318,585,10,694,5,28,67,72,620,186
Omar Moreno,1009167,1382,4992,5481,962,171,87,37,699,386,387,41,885,17,33,52,45,487,182
Cesar Cedeno,1002100,2006,7310,8133,1392,436,60,199,1084,976,664,83,938,56,71,32,167,550,179
Ty Cobb,1002378,3035,11434,13072,3053,724,295,117,2246,1937,1249,,357,94,,295,,892,178
Steve Sax,1011481,1769,6940,7632,1570,278,47,54,913,550,556,47,584,24,37,75,146,444,178
Vince Coleman,1002433,1371,5406,5970,1132,176,89,28,849,346,477,12,960,15,24,48,45,752,176
Eddie Collins,1002451,2826,9949,12037,2643,438,187,47,1821,1300,1499,,286,77,,512,,744,173
Bobby Bonds,1001157,1849,7043,8090,1186,302,66,332,1258,1024,914,75,1757,53,64,16,106,460,169
Eric Young Sr.,716,1730,6119,6996,1279,327,46,79,996,543,660,14,462,89,44,84,135,465,168
Omar Vizquel,411,2968,10586,12013,2264,456,77,80,1445,951,1028,25,1087,49,94,256,207,404,167
Joe Morgan,1009179,2649,9277,11329,1704,449,96,268,1650,1133,1865,76,1015,40,96,51,105,689,162
Bill North,1009638,1169,3900,4621,845,120,31,20,640,230,627,28,665,25,14,55,49,395,162
Kenny Lofton,246,2103,8120,9235,1799,383,116,130,1528,781,945,43,1016,32,65,72,111,622,160
Pete Rose,1011217,3562,14053,15876,3215,746,135,160,2165,1314,1566,167,1143,107,79,56,247,198,149
Ozzie Smith,1012186,2573,9396,10778,1961,402,69,28,1257,793,1072,79,589,33,63,214,167,580,148
Delino DeShields,275,1615,5779,6652,1150,244,74,80,872,561,754,31,1061,20,42,57,99,463,147
Tim Raines,1406,2502,8872,10359,1892,430,113,170,1571,980,1330,148,966,42,76,39,142,807,146
Luis Polonia,1010427,1379,4840,5296,1122,189,70,36,728,405,369,23,543,15,35,37,91,321,145
Sam Rice,1010900,2404,9269,10246,2271,498,184,34,1514,1078,708,,275,56,,213,,351,143
Juan Samuel,1011400,1720,6081,6664,1028,287,102,161,873,703,440,38,1442,74,42,27,81,396,143
Luis Castillo,513,1720,6510,7471,1608,194,59,28,1001,443,800,13,850,12,26,123,120,370,142
Ron LeFlore,1007478,1099,4458,4872,995,172,57,59,731,353,363,15,888,17,20,14,74,455,142
Barry Bonds,1109,2986,9847,12606,1495,601,77,762,2227,1996,2558,688,1539,106,91,4,165,514,141
Lonnie Smith,1012176,1613,5170,5952,1059,273,58,98,909,533,623,19,849,92,46,21,68,370,140
George Burns,1001708,1853,7241,8251,1566,362,108,41,1188,611,872,,565,26,,112,,383,139
Jose Cardenal,1001937,2017,6964,7696,1396,333,46,138,936,775,608,38,807,26,61,37,147,329,139
Dave Collins,1002449,1701,4907,5507,1064,187,52,32,667,373,467,16,661,38,31,64,59,395,139
Tony Fernandez,1004002,2158,7911,8793,1676,414,92,94,1057,844,690,48,784,64,61,67,163,246,138
Harold Reynolds,1010870,1374,4782,5398,929,230,53,21,640,353,480,11,417,27,33,76,69,250,138
Luis Aparicio,1000278,2601,10230,11230,2108,394,92,83,1335,791,736,22,742,27,76,161,184,506,136
Jose Cruz,1002841,2353,7917,8931,1601,391,94,165,1036,1077,898,142,1031,7,82,27,119,317,136
Ben Chapman,1002141,1717,6478,7420,1354,407,107,90,1144,977,824,,556,26,,92,52,287,135
Alfredo Griffin,1005036,1962,6780,7331,1341,245,78,24,759,527,338,37,664,25,51,136,85,191,134
Claudell Washington,1013654,1912,6787,7367,1317,334,69,164,926,824,468,77,1266,36,51,25,141,312,134
Willie Wilson,1014113,2154,7731,8317,1738,281,147,41,1168,585,425,27,1144,62,35,64,90,668,134
Willie Davis,1003088,2429,9174,9822,1846,395,138,182,1217,1053,418,75,977,51,96,83,127,398,131
Paul Molitor,1009040,2683,10835,12167,2366,605,114,234,1782,1307,1094,100,1244,47,109,75,208,504,131
Freddie Patek,1010052,1650,5530,6247,1028,216,55,41,736,490,523,33,787,31,43,119,92,385,131
Minnie Minoso,1008984,1835,6579,7710,1358,336,83,186,1136,1023,814,23,584,192,57,68,185,205,130
Tristram Speaker,1012309,2789,10195,11988,2383,792,222,117,1882,1529,1381,,220,103,,309,,432,129
Garry Templeton,1012909,2079,7721,8208,1591,329,106,70,893,728,375,144,1092,9,46,57,167,242,129
Bobby Abreu,945,2425,8480,10081,1549,574,59,288,1453,1363,1476,115,1840,33,85,7,165,400,128
Jose Reyes,1736,1877,7552,8240,1475,387,131,145,1180,719,589,56,914,11,38,50,82,517,127
George Sisler,1012021,2055,8267,9013,2121,425,164,102,1284,1175,472,,327,48,,226,,375,127
Tony Gwynn,1005166,2440,9288,10232,2378,543,85,135,1383,1138,790,203,434,24,85,45,261,319,125
Craig Biggio,549,2850,10876,12504,2046,668,55,291,1844,1175,1160,68,1753,285,81,101,150,414,124
Enos Cabell,1001804,1688,5952,6304,1268,263,56,60,753,596,259,31,691,23,38,32,133,238,124
Vada Pinson,1010360,2469,9645,10403,1889,485,127,256,1365,1169,574,69,1196,54,78,52,164,305,122
Harry Hooper,1006002,2309,8785,10244,1842,389,160,75,1429,817,1136,,412,76,,247,,375,121
Willie McGee,1008513,2201,7649,8188,1731,350,94,79,1010,856,448,58,1238,15,46,30,157,352,121
Don Baylor,1000700,2292,8198,9401,1403,366,28,338,1236,1276,805,91,1069,267,115,16,196,285,120
Mark McLemore,1088,1832,6192,7239,1247,255,47,53,943,614,875,29,983,15,52,105,134,272,119
Chone Figgins,1580,1282,4701,5360,1017,188,58,35,708,403,540,6,832,10,40,69,74,341,119
Pat Kelly,1006810,1385,4338,5011,847,189,35,76,620,418,588,25,768,29,30,26,97,250,119
Steve Finley,54,2583,9397,10460,1671,449,124,304,1443,1167,844,69,1299,53,75,91,152,320,118
Tom Goodwin,1114,1288,3846,4315,841,125,39,24,636,284,365,3,660,13,18,73,44,369,118
Roy White,1013890,1881,6650,7736,1292,300,51,160,964,758,934,66,709,29,69,53,123,233,118
Chuck Knoblauch,609,1632,6366,7387,1355,322,64,98,1132,615,804,22,730,139,56,20,116,407,117
Ray Lankford,1044,1701,5747,6675,913,356,54,238,968,874,828,68,1550,36,53,10,78,258,117
Ichiro Suzuki,1101,2653,9934,10734,2514,362,96,117,1420,780,647,181,1080,55,48,50,92,509,117
Babe Ruth,1011327,2503,8398,10616,1517,506,136,714,2174,2217,2062,,1330,43,,113,2,123,117
Marquis Grissom,652,2165,8275,8959,1582,386,56,227,1187,967,553,44,1240,31,62,38,171,429,116
Tommy Harper,1005383,1810,6269,7164,1171,256,36,146,972,567,753,30,1080,35,31,76,87,408,116
Carl Yastrzemski,1014326,3308,11988,13991,2262,646,59,452,1816,1844,1845,190,1393,40,105,13,323,168,116
Reggie Sanders,1129,1777,6241,7043,960,341,60,305,1037,983,674,49,1614,71,43,14,121,304,115
Elvis Andrus,8709,2059,7772,8603,1558,380,51,102,1058,775,611,8,1206,57,58,104,197,347,115
Reggie Jackson,1006308,2820,9864,11416,1509,463,49,563,1551,1702,1375,164,2597,96,68,13,183,228,115
Roberto Alomar,860,2379,9073,10400,1930,504,80,210,1508,1134,1032,62,1140,50,97,148,206,474,114
Davey Lopes,1007750,1812,6354,7340,1234,232,50,155,1023,614,833,38,852,31,48,74,126,557,114
Tony Phillips,1010300,2161,7617,9110,1453,360,50,160,1300,819,1319,44,1499,42,63,69,127,177,114
Dave Parker,1010000,2466,9358,10184,1772,526,75,339,1272,1493,683,169,1537,56,86,1,210,154,113
Lenny Randle,1010693,1138,3950,4427,804,145,40,27,488,322,372,27,505,15,28,62,72,156,112
Jim Gilliam,1004724,1956,7119,8321,1449,304,71,65,1163,558,1036,30,416,33,35,98,90,203,111
Charlie Jamieson,1006355,1779,6560,7488,1570,322,80,18,1062,552,748,,345,35,,145,,131,110
Tony Taylor,1012892,2195,7680,8501,1548,298,86,75,1005,598,613,49,1083,78,39,91,167,234,110
Carl Crawford,1201,1716,6655,7178,1363,309,123,136,998,766,377,24,1067,47,48,34,79,480,109
George Case,1002033,1226,5016,5515,1118,233,43,21,785,377,426,,297,21,,52,48,349,109
Dave Concepcion,1002494,2488,8723,9641,1788,389,48,101,993,950,736,93,1186,21,86,74,266,321,109
Andre Dawson,1003091,2627,9926,10768,1735,503,98,438,1373,1591,589,143,1508,111,118,24,217,314,109
Buddy Myer,1009415,1923,7038,8187,1610,353,130,38,1174,850,965,,428,33,,151,12,156,109
Alan Trammell,1013157,2293,8288,9376,1713,412,55,185,1231,1003,850,48,874,37,76,124,156,236,109
Edgar Renteria,1178,2152,8142,9066,1722,436,29,140,1200,923,718,42,1182,31,76,99,241,294,108
Rajai Davis,3708,1448,4244,4607,780,226,43,62,637,387,267,5,844,46,28,22,79,415,108
Luke Appling,1000284,2422,8856,10243,2162,440,102,45,1319,1116,1302,,528,11,,74,129,179,108
Ozzie Guillen,1005125,1993,6686,7133,1392,275,69,28,773,619,239,25,511,7,60,141,114,169,108
Del Pratt,1010512,1836,6826,7609,1444,392,117,43,856,970,513,,360,37,,233,,247,108
Cesar Tovar,1013142,1488,5569,6177,1192,253,55,46,834,435,413,23,410,88,34,73,58,226,108
Julio Franco,87,2527,8677,9731,1952,407,54,173,1285,1194,917,67,1341,38,80,19,310,281,107
Darren Lewis,286,1354,4081,4654,820,137,37,27,607,342,403,1,514,48,19,101,58,247,107
Sammy Sosa,302,2354,8813,9896,1375,379,45,609,1475,1667,929,154,2306,59,78,17,202,234,107
Ryne Sandberg,1011411,2164,8385,9282,1625,403,76,282,1318,1061,761,59,1260,34,71,31,139,344,107
Frank Taveras,1012852,1149,4043,4399,839,144,44,2,503,214,249,9,474,24,16,67,65,300,106
Ken Williams,1014012,1397,4862,5616,994,285,77,196,860,913,566,,287,28,,160,,154,106
Jimmy Rollins,971,2275,9294,10240,1598,511,115,231,1421,936,813,52,1264,38,53,42,136,470,105
Larry Bowa,1001243,2247,8420,9108,1815,262,99,15,987,525,474,45,569,17,42,150,120,318,105
Don Buford,1001636,1286,4553,5347,909,157,44,93,718,418,672,57,575,41,34,47,34,200,105
Phil Garner,1004541,1860,6136,6861,1104,299,82,109,780,738,564,74,842,34,59,67,131,225,105
Lance Johnson,1006482,1447,5379,5800,1239,175,117,34,767,486,352,29,384,7,27,35,103,327,105
Johnny Mostil,1009255,972,3507,4096,740,209,82,23,618,376,415,,336,70,,104,,176,105
Robin Yount,1014396,2856,11008,12249,2182,583,126,251,1632,1406,966,95,1350,48,123,104,217,271,105
Gary Sheffield,114,2576,9217,10947,1686,467,27,509,1636,1676,1475,130,1171,135,111,9,235,253,104
Scott Podsednik,1095,1079,3906,4346,835,178,41,42,563,312,333,7,630,25,24,57,67,309,104
Carney Lansford,1007331,1862,7158,7905,1551,332,40,151,1007,874,553,45,719,64,77,53,166,224,104
Gary Pettis,1010249,1183,3629,4237,676,109,49,21,568,259,521,3,958,9,13,65,55,354,104
Johnny Damon,185,2490,9736,10917,1903,522,109,235,1668,1139,1003,38,1257,50,71,57,94,408,103
Willie Mays,1008315,2992,10881,12493,1960,523,140,660,2062,1903,1464,192,1526,44,91,13,251,338,103
Ron Gant,1032,1832,6449,7320,978,302,50,321,1080,1008,770,38,1411,32,57,12,98,243,102
Dee Strange-Gordon,8203,1025,3906,4162,920,125,55,18,538,236,168,6,618,32,26,29,46,336,102
Bob Meusel,1008817,1407,5475,6028,1074,368,95,156,826,1068,375,,619,21,,157,,142,102
