PlayerName,PlayerID,Season,Team,League,Throws,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Position,Inn
Ed Merrill,merried01,1882,LOU,AA,NaN,1,0,0,0,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,/O,NaN
Charlie Bastian,bastich01,1891,PHI,NL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,/6,NaN
Jiggs Donahue,donahji02,1901,PIT,NL,L,2,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/27,NaN
Doc Marshall,marshdo01,1904,NYG,NL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H2479,NaN
Frank McManus,mcmanfr01,1904,DET,AL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/2,NaN
Charlie Fallon,falloch01,1905,NYY,AL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Jimmy McAleer,mcaleji01,1907,SLB,AL,R,2,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
John McGraw,mcgrajo01,1907,NYG,NL,L,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Harry Bay,bayha01,1908,CLE,AL,L,2,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Art Wilson,wilsoar01,1908,NYG,NL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Blaine Durbin,durbiki01,1909,PIT,NL,L,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Jimmy Sebring,sebriji01,1909,WSH,AL,L,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/8,NaN
Hughie Jennings,jennihu01,1910,DET,AL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Elmer Zacher,zacheel01,1910,NYG,NL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/8,NaN
Danny Mahoney,mahonda02,1911,CIN,NL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Hughie Miller,millehu01,1911,PHI,NL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Hap Myers,myersha01,1911,BOS,AL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,3/H,NaN
Hub Northen,northhu01,1911,CIN,NL,L,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Earl Blackburn,blackea01,1912,PIT,NL,R,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/2,NaN
Ralph Capron,caprora01,1912,PIT,NL,L,1,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Joe Evers,eversjo02,1913,NYG,NL,R,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Ed McDonald,mcdoned02,1913,CHC,NL,R,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
Bill McTigue,mctigbi01,1913,BSN,NL,L,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,/H,NaN
