fangraphsid,mlbamid
1,407792
2,110236
3,110293
4,277397
5,456499
6,406550
7,209068
8,112621
10,275930
11,113889
12,113966
13,114485
14,114768
15,136267
17,279566
18,491703
19,150456
20,117722
21,400081
23,400082
24,134260
25,150040
26,136303
27,150009
28,120190
29,120401
30,150010
31,150369
32,121640
33,150011
34,121986
35,276912
36,458584
37,122596
39,123849
40,132220
41,276533
42,277184
43,279564
44,110230
45,150148
46,110683
47,110712
48,110826
49,452035
50,400090
51,112461
52,112736
54,114135
55,114935
56,115007
57,115229
58,115727
59,150282
60,116615
61,218294
62,407482
63,407377
64,118256
65,119064
66,150224
67,119374
68,119624
69,400280
70,120244
71,279568
72,121117
73,121811
74,150160
75,122840
76,123057
77,124326
78,124523
79,124696
81,111072
82,407794
83,111369
84,112106
85,407795
86,407796
87,212297
88,279577
89,279578
90,114849
91,407839
92,115391
94,136500
95,116100
96,116662
97,116706
98,407798
99,452061
100,117763
101,136601
102,117913
103,117919
104,118120
105,150302
106,119154
107,150305
108,406874
109,452096
110,400141
111,121060
113,452722
114,122111
115,122477
117,122989
119,279576
120,235095
122,150210
123,110312
124,110682
125,407400
126,407853
128,406933
129,111234
130,111496
131,112559
132,112682
133,346868
134,150344
137,113884
138,114309
140,408202
141,400158
142,282594
143,115183
144,150020
145,115797
147,116595
148,406402
149,150459
150,150438
151,118130
152,275928
153,150439
155,118736
156,119234
157,206551
158,150225
160,332292
161,132260
163,276537
164,235494
166,406878
167,150199
168,124805
169,121977
170,150334
173,502161
174,134361
175,110427
177,429783
178,111567
179,111734
180,112113
182,112316
185,113028
186,136766
187,400129
188,407154
189,114581
190,114596
191,114908
192,115415
193,508892
194,115749
195,115812
196,150167
197,279615
198,519445
199,117955
200,118377
201,134265
202,119182
203,408107
204,119811
205,119948
206,119984
208,136730
209,460322
210,120903
211,461416
213,121663
214,407488
215,275932
216,123584
217,123660
219,123801
221,110184
223,335092
224,400021
225,279824
226,112381
227,150317
230,113660
231,114342
232,279782
233,215197
234,150474
235,115017
236,407483
237,133982
238,400019
240,150322
242,117244
243,150324
245,150325
246,117863
247,150122
248,120044
249,120107
250,133220
251,150331
252,150053
253,121234
254,400023
255,123245
256,123610
258,216106
259,279823
260,110134
261,110189
263,445216
264,110840
265,110853
266,110891
267,111244
268,150032
269,400130
270,400292
271,136725
273,407297
274,112940
275,113291
276,400131
277,150471
278,150035
279,114032
280,114833
281,114924
282,114971
283,407930
284,116316
285,407778
286,117731
287,117758
289,118079
290,118158
291,118163
293,118730
294,282597
295,119482
296,349193
297,324432
298,120042
299,120085
300,279913
301,407578
302,122544
303,122918
304,134268
305,407296
307,406895
308,110179
311,111213
312,407777
313,150342
314,112087
315,112128
316,235194
317,113296
318,276374
319,276055
320,113845
322,150003
324,220594
326,115056
327,115135
328,115383
329,115649
332,400290
334,444427
335,117501
336,276053
337,150178
338,518444
340,150288
341,465015
342,280061
344,276377
346,400079
347,367944
348,277410
349,121206
353,400154
354,122231
356,122803
357,122975
358,150114
359,123842
360,124171
361,150182
362,136901
364,110229
366,110394
367,276056
369,150396
370,137140
371,150343
372,111736
373,132660
375,112526
377,234994
378,113330
379,400181
380,282328
381,113646
383,276510
384,114133
385,114465
387,115263
389,117044
390,117566
392,285072
393,400121
394,276531
395,150348
396,118960
397,119640
399,406301
400,120407
401,121215
402,228594
403,121361
404,282332
405,121985
406,122201
407,400123
409,123272
410,407896
411,123744
412,150414
413,124233
414,124498
415,124605
416,133742
420,110870
423,150450
424,276336
426,134003
428,113911
429,150118
430,115399
432,115732
433,116075
434,407298
435,150455
436,116734
438,150458
439,118967
441,119673
442,276515
443,334393
444,121096
446,276343
447,444859
449,122205
451,133221
452,150128
453,123307
454,346874
455,123833
456,124184
457,124755
458,110032
459,150183
460,333293
462,407074
463,112901
464,113702
465,407906
466,137001
467,133960
468,115370
469,115915
470,276346
471,116423
472,133224
473,276341
475,117769
476,150197
477,118136
478,136581
479,400078
480,119215
481,276347
482,120194
483,120202
484,120214
485,120285
486,283169
487,408195
489,282562
490,150064
491,150230
492,121199
493,407576
494,407845
495,400073
496,121690
497,122251
499,122562
501,123803
502,123828
503,213711
505,124693
506,407577
507,150355
509,445204
510,277417
511,111241
512,150359
513,112116
514,135783
516,133240
517,133225
518,114260
520,136460
521,276351
522,407875
523,116569
525,117601
526,131702
527,136780
528,342192
529,132788
531,346863
532,136727
533,407485
534,120140
535,207267
538,133226
539,449881
540,122432
541,123118
542,150373
545,133343
546,110385
547,110432
548,204020
549,110987
550,150398
551,111492
552,136580
553,112223
554,112906
555,136734
556,348563
557,276356
559,459932
560,400056
561,115902
562,116326
563,400058
564,276530
565,150061
566,276509
567,118421
568,150063
569,119211
570,119809
571,400061
572,407836
573,400062
574,121110
576,150392
577,123743
578,123790
579,132880
580,124748
581,150043
582,275700
583,346793
584,110136
585,150416
586,407900
587,406953
588,110450
589,136860
590,407356
591,407556
592,408226
593,150202
594,111838
595,134267
596,456662
598,136866
599,407757
601,150203
602,115169
604,407396
605,115832
606,134460
607,116380
609,117197
612,213680
613,118469
614,118490
615,150092
616,451198
617,150205
618,150206
620,120413
621,240494
623,120922
624,150209
625,121057
627,132620
629,488681
630,122195
632,133121
633,122987
634,123041
635,123494
636,330892
