"all_star_status" "team_id" "team_full_name" "link" "season" "team_code" "file_code" "team_abbreviation" "team_name" "first_year_of_play" "short_name" "franchise_name" "club_name" "active" "venue_id" "venue_name" "venue_link" "league_id" "league_name" "league_link" "sport_id" "sport_link" "sport_name" "location_name" "spring_venue_id" "spring_venue_link" "division_id" "division_name" "division_link" "spring_league_id" "spring_league_name" "spring_league_link" "spring_league_abbreviation"
"1" "N" 144 "Boston Braves" "/api/v1/teams/144" 1871 "bs1" "t144" "BSN" "Braves" "1871" "Boston" "Boston" "Braves" TRUE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"2" "N" 179 "Rockford Forest Citys" "/api/v1/teams/179" 1871 "rc1" "t179" "ROC" "Forest Citys" "1871" "Rockford" "Rockford" "Forest Citys" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"3" "N" 215 "Washington Olympics" "/api/v1/teams/215" 1871 "ws3" "t215" "WSO" "Olympics" "1871" "Washington" "Washington" "Olympics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"4" "N" 122 "Ft. Wayne Kekiongas" "/api/v1/teams/122" 1871 "fw1" "t122" "FTW" "Kekiongas" "1871" "Ft. Wayne" "Ft. Wayne" "Kekiongas" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"5" "N" 203 "Troy Haymakers" "/api/v1/teams/203" 1871 "tro" "t203" "TRO" "Haymakers" "1871" "Troy" "Troy" "Haymakers" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"6" "N" 155 "New York Mutuals" "/api/v1/teams/155" 1871 "ny2" "t155" "NYM" "Mutuals" "1871" "New York" "New York" "Mutuals" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"7" "N" 173 "Philadelphia Athletics" "/api/v1/teams/173" 1871 "ph1" "t173" "PHN" "Athletics" "1871" "Philadelphia" "Philadelphia" "Athletics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"8" "N" 190 "Chicago White Stockings" "/api/v1/teams/190" 1871 "ch1" "t190" "CWS" "White Stockings" "1871" "Chicago" "Chicago" "White Stockings" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"9" "N" 207 "Cleveland Forest Cities" "/api/v1/teams/207" 1871 "cl1" "t207" "CLE" "Forest Cities" "1871" "Cleveland" "Cleveland" "Forest Cities" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"10" "N" 144 "Boston Braves" "/api/v1/teams/144" 1872 "bs1" "t144" "BSN" "Braves" "1871" "Boston" "Boston" "Braves" TRUE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"11" "N" 162 "Baltimore Lord Baltimores" "/api/v1/teams/162" 1872 "bl1" "t162" "BAL" "Lord Baltimores" "1872" "Baltimore" "Baltimore" "Lord Baltimores" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"12" "N" 149 "Middletown Mansfields" "/api/v1/teams/149" 1872 "mid" "t149" "MID" "Mansfields" "1872" "Middletown" "Middletown" "Mansfields" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"13" "N" 182 "Brooklyn Eckfords" "/api/v1/teams/182" 1872 "br1" "t182" "BKE" "Eckfords" "1872" "Brooklyn" "Brooklyn" "Eckfords" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"14" "N" 183 "Brooklyn Atlantics" "/api/v1/teams/183" 1872 "br2" "t183" "BKA" "Atlantics" "1872" "Brooklyn" "Brooklyn" "Atlantics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"15" "N" 215 "Washington Olympics" "/api/v1/teams/215" 1872 "ws3" "t215" "WSO" "Olympics" "1871" "Washington" "Washington" "Olympics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"16" "N" 216 "Washington Nationals" "/api/v1/teams/216" 1872 "ws4" "t216" "WSN" "Nationals" "1872" "Washington" "Washington" "Nationals" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"17" "N" 203 "Troy Haymakers" "/api/v1/teams/203" 1872 "tro" "t203" "TRO" "Haymakers" "1871" "Troy" "Troy" "Haymakers" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"18" "N" 155 "New York Mutuals" "/api/v1/teams/155" 1872 "ny2" "t155" "NYM" "Mutuals" "1871" "New York" "New York" "Mutuals" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"19" "N" 173 "Philadelphia Athletics" "/api/v1/teams/173" 1872 "ph1" "t173" "PHN" "Athletics" "1871" "Philadelphia" "Philadelphia" "Athletics" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"20" "N" 207 "Cleveland Forest Cities" "/api/v1/teams/207" 1872 "cl1" "t207" "CLE" "Forest Cities" "1871" "Cleveland" "Cleveland" "Forest Cities" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"21" "N" 144 "Boston Braves" "/api/v1/teams/144" 1873 "bs1" "t144" "BSN" "Braves" "1871" "Boston" "Boston" "Braves" TRUE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
"22" "N" 162 "Baltimore Lord Baltimores" "/api/v1/teams/162" 1873 "bl1" "t162" "BAL" "Lord Baltimores" "1872" "Baltimore" "Baltimore" "Lord Baltimores" FALSE 401 "TBD" "/api/v1/venues/401" 102 "National Association" "/api/v1/league/102" 6 "/api/v1/sports/6" "Historical Professional League" NA NA NA NA NA NA NA NA NA NA
