Name,Team,G,GS,IP,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Kevin Gausman","TOR",62,62,359.2,0.3831,0.8408,0.729,0.4088,0.1416,0.2971,0.297,130.67921354544598,0.0558,66.77681969444916,0.2413,0.3427027027027027,118.32473695733205,0.7531,103.99297724146865,0.09631728,12.214820572092563,0.0897,0.4077,3.2530089660078767,81.02197725261277,,2.682540124730332,63.46844665518509,2.991685716878422,72.27065557591267,3.1361189796400155,1.2066717019208704,94.62426728699307,107.18339680465967,105.27951306483895,107.28122853012185,10.969580173492432,7.761599779129028,"Kevin Gausman",14107,592332
"Aaron Nola","PHI",64,64,398.2,0.3722,0.8601,0.7518,0.4254,0.1221,0.31,0.2731,121.64890878857291,0.0463,54.359065466694744,0.2269,0.28696498054474706,97.4543893660672,0.6972,96.77679364968687,0.128140703,12.616164804285548,0.0769,0.3513,3.837789361604324,90.36644592750788,,3.284550563997688,76.40020507051601,3.1883543093114275,76.20950715294332,3.2660249809699575,1.053510805146285,80.63967417363922,103.82631953156285,108.27901043128269,107.11401078068053,10.192750215530396,7.900590181350708,"Aaron Nola",16149,605400
"Zack Wheeler","PHI",58,58,345,0.3635,0.8325,0.7543,0.4221,0.1247,0.2759,0.269,120.01164603554899,0.0524,61.74464719511516,0.2166,0.2898550724637681,98.3052848448189,0.7385,102.56335309411473,0.098802395,12.975666347846696,0.0624,0.3548,3.260869565217391,76.47256470980648,,3.03527367633322,70.66645669438269,3.3262498848680138,79.13358318127271,3.3873086187911934,1.0608695652173914,81.08996717629606,109.48880417283806,105.59773368118479,110.64779260931365,10.11097002029419,9.222679615020752,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",52,52,294,0.3652,0.7843,0.6608,0.4359,0.1752,0.3272,0.3729,166.533839542873,0.0769,90.32317508052306,0.296,0.3063209076175041,103.72843231936208,0.7143,99.25734346028305,0.110266159,15.61775016784668,0.0697,0.3529,3.4591835837024614,79.81950546291095,,2.5124998781160075,60.1351714637016,2.6609611994968736,62.81723945272652,2.688546196573683,1.0544217413448997,80.29713808641587,127.017141338287,103.32276620779395,111.30086210555076,9.66241979598999,6.89523983001709,"Spencer Strider",27498,675911
"Zac Gallen","ARI",65,65,394,0.3381,0.8787,0.7724,0.4091,0.107,0.282,0.2641,117.76392593097269,0.0603,71.15089635559701,0.2038,0.272,92.18196585535566,0.7523,104.48424120687116,0.101092896,11.635924105514349,0.0858,0.4156,3.0380710659898478,71.50491214159135,,3.1630595439581706,78.13586995233423,3.405663134679577,81.33068794973768,3.508931629852223,1.0228426395939085,78.12806909188645,106.613112576326,104.67330291205552,107.1544321825959,9.337739944458008,11.556059837341309,"Zac Gallen",19291,668678
"Justin Verlander","- - -",55,55,337.1,0.3574,0.8599,0.7913,0.4291,0.1074,0.2623,0.2464,109.97380116295747,0.0554,66.19268668481062,0.191,0.25252525252525254,86.68367049070986,0.7852,108.55760415329985,0.074074074,17.884857713130483,0.0727,0.3789,2.454545713610442,60.39439247757522,,3.142519822985526,76.15906856850188,3.8724305643432286,92.96861586924702,3.741817663036569,0.975296545625405,75.71080943553677,111.92951945361693,105.66748032220956,106.93259099930182,9.335470080375671,11.06656002998352,"Justin Verlander",8700,434378
"Logan Webb","SFG",65,65,408.1,0.3458,0.8897,0.7931,0.4177,0.0974,0.2934,0.2181,97.25769886468929,0.0489,57.983889161309385,0.1692,0.29732065687121867,100.91489221996655,0.7271,100.94930535201631,0.117870722,1.7929546529151519,0.0623,0.4234,3.0857168609373713,75.99636534043698,,3.1021533335344103,77.63848397200694,3.123767450340583,74.92968724737999,3.350064910098382,1.1142866442273842,85.36387478405284,104.36893503009391,103.64491326774052,103.93612652481033,9.045750141143799,9.471920013427734,"Logan Webb",17995,657277
"Framber Valdez","HOU",62,62,399.1,0.3102,0.8865,0.7553,0.4517,0.1144,0.2846,0.241,106.1452418020281,0.0758,91.92889275619122,0.1651,0.28330206378986866,97.74363657496598,0.7356,101.52304321142897,0.133928571,0.24532908527137395,0.0684,0.4325,3.132723875380115,77.25301650875049,,3.2757942089267376,80.4767184640243,3.1884710922991535,77.25157244590199,3.4409326399614426,1.1419041464215287,89.58801987383102,108.39254619686037,97.49848036402747,99.48922671081273,8.699880123138428,9.673510074615479,"Framber Valdez",17295,664285
"Sandy Alcantara","MIA",60,60,413.1,0.3792,0.8495,0.7706,0.4424,0.1222,0.2728,0.2172,96.69285431683564,0.0595,70.24830868718279,0.1578,0.2736842105263158,92.94638909459614,0.7436,103.21494136514637,0.106145251,6.237347647867489,0.0603,0.393,3.1137045431271364,73.20335408552276,,3.451950319310177,84.06409314185721,3.610128687129178,86.6247511395314,3.792511395141861,1.0838691805135643,83.06660964550812,116.94369323647463,105.33433962898015,107.47153314144228,8.623650074005127,11.345929622650146,"Sandy Alcantara",18684,645261
"Gerrit Cole","NYY",66,66,409.2,0.3401,0.8351,0.7344,0.4098,0.1299,0.298,0.2968,130.97212811544944,0.0607,73.46389523821469,0.2361,0.26461538461538464,91.2050111603645,0.7941,109.70305499237361,0.12990196,13.755271316633761,0.0846,0.3949,3.0536996566998797,77.02178535327407,,3.3121176140280633,79.80699203871099,3.194129890765099,77.04457018746923,3.200053668836208,0.9983718302080342,78.29293763156134,125.29571662882202,102.83730196401977,109.5956027653962,8.48779010772705,10.458440065383911,"Gerrit Cole",13125,543037
