Name,Team,G,GS,IP,TBF,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Steven Wilson","SDP",1,1,1,3,0.3333,0.6667,0.6,0.5,0.1667,0.5,0.6667,294.7583166335542,0,0,0.6667,0,0,1,,0,-6.285299777984619,0,0,0,0,,-0.8875701904296873,-20.665403738594556,-0.8875701904296873,-20.383817372473672,-0.16357854495219737,0,0,141.1833333333333,102.58333333333333,126.16666666666667,0.07063130289316177,0.06652569770812988,"Steven Wilson",20353,621051
"Mauricio Llovera","SFG",1,1,1,3,0.1667,0.7778,0.8,0.6471,0.1176,0.2941,0.3333,147.3791583167771,0,0,0.3333,0,0,1,,0,38.59049987792969,0,0.5,0,0,,1.1124298095703127,30.300763653538265,4.073179852962494,101.99627105548792,4.7006436750122464,0,0,116.6470588235294,117.92941176470588,125.84117647058825,0.04446040093898773,0.06616509705781937,"Mauricio Llovera",20080,661440
"Reynaldo López","CHW",1,1,2,7,0.6667,0.5,0.5,0.375,0.375,0.4167,0.4286,192.90161190269808,0,0,0.4286,0.25,87.20402756104542,1,137.19943390526697,0,18.721725463867188,0,0,0,0,,0.11242980957031268,1.2658791877258868,0.852617320418358,20.380775499824313,1.3132831356563146,0.5,39.91601684916246,124.79166666666667,116.44166666666666,120.12083333333334,0.11564800143241882,0.1324169933795929,"Reynaldo Lopez",16400,625643
"Penn Murfee","SEA",1,1,2,8,0.4118,0.625,0.8,0.5,0.0882,0.2941,0.25,112.52594042660846,0.125,155.75412498956746,0.125,0.2,69.76322204883634,1,137.19943390526697,0,24.1843994140625,0,0.2,0,0,,2.6124298095703127,67.4640905227117,4.832992342114449,122.88163842765279,4.4578520088195805,1,79.83203369832492,129.88235294117646,114.75,118.92647058823529,0.049882400780916214,0.13334299623966217,"Penn Murfee",25174,682171
"J.P. Feyereisen","TBR",2,2,4,12,0.3793,0.6667,0.5769,0.4423,0.2115,0.3462,0.4167,187.54323374427827,0,0,0.4167,0,0,1,,0,48.62385777064732,0.1429,0.2857,0,0,,0.6124298095703127,14.77189813330367,2.8329923421144487,71.37852006864375,2.322692290460136,0,0,123.21346153846153,105.17307692307692,117.8076923076923,0.28849801421165466,0.26854199171066284,"J.P. Feyereisen",16610,656420
"Jacob deGrom","NYM",11,11,64.1,239,0.4123,0.7333,0.6133,0.3755,0.2106,0.3543,0.4268,188.69465447031604,0.0335,40.371725835915896,0.3933,0.25833333333333336,88.50608327160298,0.7345,101.64343626993464,0.16981132,15.231496255228839,0.093,0.3178,3.077721910550083,79.79786892706441,2.24,2.1331546562134682,54.88995603021739,1.5340850420276666,39.35762875923125,1.5859776410833413,0.7461144025575959,58.3289213319332,138.63393617021273,107.83765957446812,117.07755319148939,2.2165300846099854,1.7020000219345093,"Jacob deGrom",10954,594798
"Tyler Glasnow","TBR",2,2,6.2,26,0.3521,0.8929,0.6981,0.3772,0.1404,0.3158,0.3846,173.1168311485646,0.0769,95.84869115108799,0.3077,0.23076923076923078,80.496025440965,1,137.19943390526697,0.142857142,14.885928562709264,0.2143,0.8571,1.3499993562701433,36.414531481259274,5.75,2.9624298810958525,77.74495765560947,2.5668238425164067,64.52426619952483,2.3646122745295894,0.8999995708467623,71.8487960683167,156.8254385964912,104.23859649122808,116.41666666666669,0.13181500136852264,0.32385700941085815,"Tyler Glasnow",14374,607192
"Austin Pruitt","OAK",1,1,5,17,0.4545,0.8125,0.7742,0.4,0.1273,0.3091,0.1176,52.95338335949501,0,0,0.1176,0,0,1,,0,11.806599934895834,0,0.2667,0,0,,2.312429809570313,59.6568605826228,4.0888798356056215,103.71958118008129,4.133195012963878,0,0,101.55636363636364,113.34545454545454,115.65090909090908,0.17519399523735046,0.37299901247024536,"Austin Pruitt",15290,643493
"Brusdar Graterol","LAD",1,1,1,6,0.3,1,1,0.5455,0,0.2273,0.1667,73.6895789373198,0,0,0.1667,0.6,205.56251598565845,0.3333,46.13048262120378,0,-12.098400115966797,0,0.4,18,456.0762994886583,,1.1124298095703127,28.603988415039876,2.5928048312664034,65.47590125716819,2.9254214620043024,3,234.5307413929617,107.09545454545454,114.49545454545455,114.33181818181819,0.04496689885854721,-0.13186800479888916,"Brusdar Graterol",20367,660813
"Cooper Criswell","TBR",1,1,3.1,13,0.2632,0.8,0.75,0.5778,0.1111,0.3778,0.3077,138.4934648288309,0.0769,95.84869115108799,0.2308,0.25,87.20402756104542,0.6667,91.46628917871169,0,4.93642520904541,0,0.25,2.700002768042541,72.82917235458147,1.14,1.612428271768901,41.568902714399734,2.9447671572090615,74.25689583433083,2.896488528691919,0.9000009226808471,71.8489039879809,90.25777777777778,113.18,114.1711111111111,0.13111400604248047,0.10439000278711319,"Cooper Criswell",24975,681867
