Rk,Player,WAR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos
1,Babe Ruth,14.1,1923,28,NYY,AL,152,699,522,151,205,106,45,13,41,130,17,21,170,93,0.393,0.545,0.764,1.309,239,399,,4,3,,,14.1,11.5,12.3,1.2,114,0,-4,-4,19,*97/83
2,Babe Ruth,12.9,1921,26,NYY,AL,152,693,540,177,204,85,44,16,59,168,17,13,145,81,0.378,0.512,0.846,1.359,239,457,,4,4,,,12.9,10.4,12.2,0,116,0,-1,-1,6,*78/13H
3,Babe Ruth,12.6,1927,32,NYY,AL,151,691,540,158,192,95,29,8,60,165,7,5,137,89,0.356,0.486,0.772,1.258,225,417,,0,14,,3,12.6,10,11.4,0.5,102,0,1,1,12,*97
4,Carl Yastrzemski,12.4,1967,27,BOS,AL,161,680,579,112,189,110,31,4,44,121,10,8,91,69,0.326,0.418,0.622,1.04,193,360,5,4,1,5,11,12.4,10.2,9.9,1.7,69,3,3,5,23,*7/8H
5,Rogers Hornsby,12.1,1924,28,STL,NL,143,642,536,121,227,145,43,14,25,94,5,12,89,32,0.424,0.507,0.696,1.203,222,373,,2,13,,13,12.1,10.1,11.5,1.1,94,0,-2,-2,7,*4
6,Babe Ruth,11.9,1920,25,NYY,AL,142,617,458,158,172,73,36,9,54,135,14,14,150,80,0.376,0.532,0.847,1.379,255,388,,3,5,,,11.9,9.6,11.8,-0.5,109,0,-2,-2,1,*978/31H
7,Barry Bonds,11.9,2001,36,SFG,NL,153,664,476,129,156,49,32,2,73,137,13,3,177,93,0.328,0.515,0.863,1.379,259,411,5,9,0,2,35,11.9,9.9,12.4,-1.2,116,1,1,1,-5,*7/DH
8,Lou Gehrig,11.8,1927,24,NYY,AL,155,717,584,149,218,101,52,18,47,173,10,10,109,84,0.373,0.474,0.765,1.24,220,447,,3,21,,9,11.8,9.2,11.3,-0.2,102,0,-1,-1,5,*3
9,Barry Bonds,11.7,2002,37,SFG,NL,143,612,403,117,149,70,31,2,46,110,9,2,198,47,0.37,0.582,0.799,1.381,268,322,4,9,0,2,68,11.7,9.9,11.8,-0.6,109,0,-2,-2,0,*7/DH
10,Cal Ripken Jr.,11.5,1991,30,BAL,AL,162,717,650,99,210,125,46,5,34,114,6,1,53,46,0.323,0.374,0.566,0.94,162,368,19,5,0,9,15,11.5,9.2,9.2,3.5,56,-1,1,0,23,*6
11,Honus Wagner,11.5,1908,34,PIT,NL,151,641,568,100,201,133,39,19,10,109,53,,54,22,0.354,0.415,0.542,0.957,205,308,,5,14,,,11.5,9.3,11.4,1.4,62,0,4,4,1,*6
12,Babe Ruth,11.4,1926,31,NYY,AL,152,652,495,139,184,102,30,5,47,153,11,9,144,76,0.372,0.516,0.737,1.253,226,365,,3,10,,13,11.4,8.8,11,-0.2,96,0,-1,-1,5,*79/H3
13,Babe Ruth,11.4,1924,29,NYY,AL,153,681,529,143,200,108,39,7,46,124,9,13,142,81,0.378,0.513,0.739,1.252,220,391,,4,6,,28,11.4,8.8,10.5,0.2,95,0,-3,-3,9,*97/8H
14,Mickey Mantle,11.3,1957,25,NYY,AL,144,623,474,121,173,105,28,6,34,94,16,3,146,75,0.365,0.512,0.665,1.177,221,315,5,0,0,3,23,11.3,9.4,11.3,-0.1,84,1,7,8,1,*8/H
15,Ty Cobb,11.3,1917,30,DET,AL,152,672,588,107,225,151,44,24,6,106,55,,61,34,0.383,0.444,0.57,1.014,209,335,,4,16,,,11.3,8.8,10.6,0.2,70,0,4,4,6,*89/H
16,Stan Musial,11.3,1948,27,STL,NL,155,698,611,135,230,127,46,18,39,131,7,3,79,34,0.376,0.45,0.702,1.152,200,429,18,3,1,,6,11.3,8.5,10.8,-0.1,86,0,2,1,5,*987/3
17,Willie Mays,11.2,1965,34,SFG,NL,157,638,558,118,177,101,21,3,52,112,9,4,76,71,0.317,0.398,0.645,1.043,185,360,11,0,2,2,16,11.2,8.8,9.5,1.6,63,-1,4,4,15,*8/H97
18,Mickey Mantle,11.2,1956,24,NYY,AL,150,652,533,132,188,109,22,5,52,130,10,1,112,99,0.353,0.464,0.705,1.169,210,376,4,2,1,4,6,11.2,9.3,10.6,0.5,84,2,5,8,5,*8/H
19,Willie Mays,11,1964,33,SFG,NL,157,665,578,121,171,94,21,9,47,111,19,5,82,72,0.296,0.383,0.607,0.99,172,351,11,1,1,3,13,11,8.5,9,2,53,0,7,6,17,*8/H356
20,Joe Morgan,11,1975,31,CIN,NL,146,639,498,107,163,113,27,6,17,94,67,10,132,52,0.327,0.466,0.508,0.974,169,253,3,3,0,6,3,11,9,9.4,2,55,2,10,12,14,*4/H
21,Rogers Hornsby,10.8,1921,25,STL,NL,154,674,592,131,235,152,44,18,21,126,13,13,60,48,0.397,0.458,0.639,1.097,191,378,,7,15,,,10.8,8.7,10,1.3,76,0,-1,-1,10,*4/7563
22,Mookie Betts,10.7,2018,25,BOS,AL,136,614,520,129,180,96,47,5,32,80,30,6,81,91,0.346,0.438,0.64,1.078,186,333,5,8,0,5,8,10.7,8.7,8.7,1.6,65,0,6,7,18,*98/HD4
23,Ty Cobb,10.7,1911,24,DET,AL,146,656,592,148,248,169,47,24,8,127,83,,44,42,0.419,0.466,0.62,1.086,196,367,,8,11,,,10.7,8.3,10.2,0.1,74,0,11,11,4,*8
24,Barry Bonds,10.6,2004,39,SFG,NL,147,617,373,129,135,60,27,3,45,101,6,1,232,41,0.362,0.609,0.812,1.422,263,303,5,9,0,3,120,10.6,8.8,11.5,-1.5,106,1,0,1,-8,*7/HD
25,Aaron Judge,10.6,2022,30,NYY,AL,157,696,570,133,177,87,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210,391,14,6,0,5,19,10.6,8.4,10.4,0,80,-2,2,0,3,*89D/H
26,Willie Mays,10.6,1963,32,SFG,NL,157,671,596,115,187,110,32,7,38,103,8,3,66,83,0.314,0.38,0.582,0.962,175,347,15,2,0,7,5,10.6,8,9.1,1.4,56,-2,4,2,12,*8/H6
27,Ted Williams,10.6,1946,27,BOS,AL,150,672,514,142,176,93,37,8,38,123,0,0,156,44,0.342,0.497,0.667,1.164,215,343,12,2,0,,29,10.6,8.6,10.1,-0.3,83,0,0,0,4,*7
28,Rogers Hornsby,10.6,1929,33,CHC,NL,156,712,602,156,229,135,47,8,39,149,2,0,87,65,0.38,0.459,0.679,1.139,178,409,,1,22,,5,10.6,8.4,9.5,1.6,76,0,2,2,12,*4
